Library,"Borrower zipcode","Checkouts + renewals"
"Atchison Public Library",0,106
"Atchison Public Library",64484,19
"Atchison Public Library",64506,8
"Atchison Public Library",66002,6045
"Atchison Public Library",66008,24
"Atchison Public Library",66016,56
"Atchison Public Library",66017,2
"Atchison Public Library",66020,12
"Atchison Public Library",66023,25
"Atchison Public Library",66035,3
"Atchison Public Library",66041,93
"Atchison Public Library",66044,2
"Atchison Public Library",66048,7
"Atchison Public Library",66058,3
"Atchison Public Library",66060,5
"Atchison Public Library",66066,4
"Atchison Public Library",66097,40
"Atchison Public Library",66205,27
"Atchison Public Library",66227,4
"Atchison Public Library",66424,32
"Atchison Public Library",66439,13
"Atchison Public Library",66512,1
"Atchison Public Library",-,26
"Baldwin City Public Library",0,94
"Baldwin City Public Library",-,6
"Baldwin City Public Library",66006,2870
"Baldwin City Public Library",66021,4
"Baldwin City Public Library",66025,56
"Baldwin City Public Library",66030,15
"Baldwin City Public Library",66044,20
"Baldwin City Public Library",66046,61
"Baldwin City Public Library",66047,23
"Baldwin City Public Library",66049,1
"Baldwin City Public Library",66067,6
"Baldwin City Public Library",66076,10
"Baldwin City Public Library",66092,183
"Baldwin City Public Library",66414,14
"Baldwin City Public Library",66524,14
"Basehor Community Library",0,211
"Basehor Community Library",-,16
"Basehor Community Library",66007,6571
"Basehor Community Library",66012,765
"Basehor Community Library",66014,14
"Basehor Community Library",66043,174
"Basehor Community Library",66044,19
"Basehor Community Library",66046,23
"Basehor Community Library",66047,3
"Basehor Community Library",66048,806
"Basehor Community Library",66049,1
"Basehor Community Library",66052,22
"Basehor Community Library",66054,60
"Basehor Community Library",66061,7
"Basehor Community Library",66086,1239
"Basehor Community Library",66102,20
"Basehor Community Library",66109,869
"Basehor Community Library",66111,5
"Basehor Community Library",66112,5
"Basehor Community Library",66202,1
"Basehor Community Library",66203,2
"Basehor Community Library",66212,7
"Basehor Community Library",66218,18
"Basehor Community Library",66226,19
"Basehor Community Library",66227,2
"Bern Community Library",66408,249
"Bern Community Library",66439,4
"Bonner Springs City Library",0,548
"Bonner Springs City Library",66006,10
"Bonner Springs City Library",66007,82
"Bonner Springs City Library",66012,3675
"Bonner Springs City Library",66017,7
"Bonner Springs City Library",66018,23
"Bonner Springs City Library",66021,28
"Bonner Springs City Library",66043,99
"Bonner Springs City Library",66047,1
"Bonner Springs City Library",66048,18
"Bonner Springs City Library",66049,1
"Bonner Springs City Library",66052,85
"Bonner Springs City Library",66053,4
"Bonner Springs City Library",66061,4
"Bonner Springs City Library",66086,28
"Bonner Springs City Library",66102,10
"Bonner Springs City Library",66104,1
"Bonner Springs City Library",66106,21
"Bonner Springs City Library",66109,684
"Bonner Springs City Library",66111,541
"Bonner Springs City Library",66113,132
"Bonner Springs City Library",66203,1
"Bonner Springs City Library",66212,2
"Bonner Springs City Library",66213,11
"Bonner Springs City Library",66215,6
"Bonner Springs City Library",66216,45
"Bonner Springs City Library",66218,256
"Bonner Springs City Library",66226,239
"Bonner Springs City Library",66227,5
"Bonner Springs City Library",66441,1
"Bonner Springs City Library",66502,5
"Bonner Springs City Library",66508,2
"Bonner Springs City Library",66521,1
"Bonner Springs City Library",66536,1
"Bonner Springs City Library",66547,3
"Bonner Springs City Library",66801,1
"Bonner Springs City Library",66839,1
"Bonner Springs City Library",66852,1
"Bonner Springs City Library",66856,1
"Bonner Springs City Library",66860,1
"Bonner Springs City Library",66871,1
"Bonner Springs City Library",66901,1
"Bonner Springs City Library",66935,1
"Bonner Springs City Library",67002,1
"Bonner Springs City Library",67037,1
"Bonner Springs City Library",67042,1
"Bonner Springs City Library",67062,2
"Bonner Springs City Library",67107,1
"Bonner Springs City Library",67114,1
"Bonner Springs City Library",67152,1
"Bonner Springs City Library",67154,1
"Bonner Springs City Library",67156,1
"Bonner Springs City Library",67301,1
"Bonner Springs City Library",67335,1
"Bonner Springs City Library",67401,1
"Bonner Springs City Library",67410,5
"Bonner Springs City Library",67420,1
"Bonner Springs City Library",67501,1
"Bonner Springs City Library",67550,1
"Bonner Springs City Library",67579,1
"Bonner Springs City Library",67601,10
"Bonner Springs City Library",67663,1
"Bonner Springs City Library",67701,1
"Bonner Springs City Library",67737,1
"Bonner Springs City Library",67901,1
"Bonner Springs City Library",67950,1
"Bonner Springs City Library",-,17
"Burlingame Community Library",0,2
"Burlingame Community Library",66413,651
"Burlingame Community Library",66414,31
"Burlingame Community Library",66431,1
"Burlingame Community Library",66523,3
"Burlingame Community Library",66617,17
"Burlingame Community Library",66833,1
"Carbondale City Library",-,9
"Carbondale City Library",66409,3
"Carbondale City Library",66413,1
"Carbondale City Library",66414,488
"Carbondale City Library",66451,1
"Carbondale City Library",66523,14
"Carbondale City Library",66537,205
"Carbondale City Library",66546,2
"Carbondale City Library",66605,1
"Carbondale City Library",66611,2
"Carbondale City Library",66615,49
"Carbondale City Library",66619,19
"Centralia Community Library",0,1
"Centralia Community Library",66415,367
"Centralia Community Library",66538,9
"Centralia Community Library",66544,8
"Corning City Library",66417,23
"Corning City Library",66540,2
"Doniphan County Library - Elwood",66024,7
"Doniphan County Library - Elwood",66035,8
"Doniphan County Library - Elwood",66087,36
"Doniphan County Library - Elwood",66090,2
"Doniphan County Library - Highland",0,8
"Doniphan County Library - Highland",66008,8
"Doniphan County Library - Highland",66017,42
"Doniphan County Library - Highland",-,9
"Doniphan County Library - Highland",66035,336
"Doniphan County Library - Highland",66087,22
"Doniphan County Library - Highland",66094,2
"Doniphan County Library - Highland",66532,5
"Doniphan County Library - Troy",0,6
"Doniphan County Library - Troy",66002,14
"Doniphan County Library - Troy",66008,75
"Doniphan County Library - Troy",66017,3
"Doniphan County Library - Troy",66024,9
"Doniphan County Library - Troy",66035,30
"Doniphan County Library - Troy",66087,433
"Doniphan County Library - Troy",66090,69
"Doniphan County Library - Troy",66094,6
"Doniphan County Library - Troy",66532,1
"Doniphan County Library - Wathena",66002,4
"Doniphan County Library - Wathena",66024,9
"Doniphan County Library - Wathena",66087,29
"Doniphan County Library - Wathena",66090,378
"Effingham Community Library",0,46
"Effingham Community Library",66002,6
"Effingham Community Library",66016,10
"Effingham Community Library",66023,346
"Effingham Community Library",66041,39
"Effingham Community Library",66048,4
"Effingham Community Library",66058,9
"Effingham Community Library",66436,16
"Effingham Community Library",66439,10
"Eudora Community Library",0,81
"Eudora Community Library",66002,40
"Eudora Community Library",66006,3
"Eudora Community Library",66018,41
"Eudora Community Library",66025,2280
"Eudora Community Library",66044,29
"Eudora Community Library",66046,20
"Eudora Community Library",66047,46
"Eudora Community Library",66049,3
"Eudora Community Library",66052,22
"Eudora Community Library",66061,2
"Eudora Community Library",66212,1
"Everest, Barnes Reading Room",66007,1
"Everest, Barnes Reading Room",66041,5
"Everest, Barnes Reading Room",66424,168
"Everest, Barnes Reading Room",66434,4
"Everest, Barnes Reading Room",66439,20
"Hiawatha, Morrill Public Library",0,24
"Hiawatha, Morrill Public Library",66032,2
"Hiawatha, Morrill Public Library",-,3
"Hiawatha, Morrill Public Library",66035,29
"Hiawatha, Morrill Public Library",66087,6
"Hiawatha, Morrill Public Library",66094,31
"Hiawatha, Morrill Public Library",66424,20
"Hiawatha, Morrill Public Library",66425,54
"Hiawatha, Morrill Public Library",66434,1985
"Hiawatha, Morrill Public Library",66439,52
"Hiawatha, Morrill Public Library",66515,29
"Hiawatha, Morrill Public Library",66527,34
"Hiawatha, Morrill Public Library",66532,108
"Hiawatha, Morrill Public Library",66534,126
"Hiawatha, Morrill Public Library",66801,1
"Hiawatha, Morrill Public Library",66935,1
"Hiawatha, Morrill Public Library",67410,1
"Hiawatha, Morrill Public Library",67456,2
"Hiawatha, Morrill Public Library",67735,5
"Hiawatha, Morrill Public Library",68376,2
"Highland Community College",0,7
"Highland Community College",-,3
"Highland Community College",64506,1
"Highland Community College",66087,1
"Holton, Beck-Bookman Library",0,16
"Holton, Beck-Bookman Library",66032,1
"Holton, Beck-Bookman Library",66058,1
"Holton, Beck-Bookman Library",66060,4
"Holton, Beck-Bookman Library",66088,3
"Holton, Beck-Bookman Library",66416,136
"Holton, Beck-Bookman Library",66418,8
"Holton, Beck-Bookman Library",66419,46
"Holton, Beck-Bookman Library",66432,6
"Holton, Beck-Bookman Library",66434,1
"Holton, Beck-Bookman Library",66436,1514
"Holton, Beck-Bookman Library",66439,1
"Holton, Beck-Bookman Library",66440,109
"Holton, Beck-Bookman Library",66509,265
"Holton, Beck-Bookman Library",66516,32
"Holton, Beck-Bookman Library",66521,5
"Holton, Beck-Bookman Library",66533,15
"Holton, Beck-Bookman Library",66534,4
"Holton, Beck-Bookman Library",66540,92
"Holton, Beck-Bookman Library",66550,11
"Holton, Beck-Bookman Library",66552,50
"Holton, Beck-Bookman Library",66617,41
"Holton, Beck-Bookman Library",66801,1
"Holton, Beck-Bookman Library",66857,1
"Holton, Beck-Bookman Library",66968,1
"Holton, Beck-Bookman Library",67005,1
"Holton, Beck-Bookman Library",-,2
"Holton, Beck-Bookman Library",67107,1
"Holton, Beck-Bookman Library",67114,2
"Holton, Beck-Bookman Library",67152,1
"Holton, Beck-Bookman Library",67401,2
"Holton, Beck-Bookman Library",67420,1
