Library,"Borrower zipcode","Checkouts + renewals"
"Atchison Public Library",0,67
"Atchison Public Library",64484,27
"Atchison Public Library",64506,1
"Atchison Public Library",66002,5370
"Atchison Public Library",66007,1
"Atchison Public Library",66008,108
"Atchison Public Library",66016,22
"Atchison Public Library",66020,20
"Atchison Public Library",66023,31
"Atchison Public Library",66035,14
"Atchison Public Library",66041,53
"Atchison Public Library",66048,5
"Atchison Public Library",66058,6
"Atchison Public Library",66060,3
"Atchison Public Library",66087,1
"Atchison Public Library",66097,19
"Atchison Public Library",66109,7
"Atchison Public Library",66205,6
"Atchison Public Library",66424,4
"Atchison Public Library",66439,16
"Atchison Public Library",66512,3
"Atchison Public Library",66532,3
"Atchison Public Library",-,39
"Baldwin City Public Library",0,66
"Baldwin City Public Library",-,2
"Baldwin City Public Library",66006,2461
"Baldwin City Public Library",66007,1
"Baldwin City Public Library",66025,60
"Baldwin City Public Library",66030,15
"Baldwin City Public Library",66044,21
"Baldwin City Public Library",66046,60
"Baldwin City Public Library",66047,128
"Baldwin City Public Library",66049,9
"Baldwin City Public Library",66050,2
"Baldwin City Public Library",66061,1
"Baldwin City Public Library",66067,58
"Baldwin City Public Library",66092,201
"Baldwin City Public Library",66524,18
"Baldwin City Public Library",66538,13
"Basehor Community Library",0,283
"Basehor Community Library",-,8
"Basehor Community Library",66007,5501
"Basehor Community Library",66012,673
"Basehor Community Library",66014,6
"Basehor Community Library",66020,7
"Basehor Community Library",66043,145
"Basehor Community Library",66044,58
"Basehor Community Library",66046,26
"Basehor Community Library",66047,1
"Basehor Community Library",66048,469
"Basehor Community Library",66049,1
"Basehor Community Library",66052,36
"Basehor Community Library",66054,54
"Basehor Community Library",66061,8
"Basehor Community Library",66086,901
"Basehor Community Library",66097,2
"Basehor Community Library",66102,38
"Basehor Community Library",66106,1
"Basehor Community Library",66109,889
"Basehor Community Library",66111,32
"Basehor Community Library",66112,7
"Basehor Community Library",66215,3
"Basehor Community Library",66218,41
"Basehor Community Library",66227,1
"Basehor Community Library",66614,10
"Bern Community Library",66408,177
"Bern Community Library",66534,40
"Bern Community Library",66538,15
"Bern Community Library",68337,4
"Bonner Springs City Library",,2
"Bonner Springs City Library",0,497
"Bonner Springs City Library",64152,1
"Bonner Springs City Library",66007,93
"Bonner Springs City Library",66012,3391
"Bonner Springs City Library",66018,19
"Bonner Springs City Library",66021,73
"Bonner Springs City Library",66032,2
"Bonner Springs City Library",66043,138
"Bonner Springs City Library",66044,1
"Bonner Springs City Library",66048,20
"Bonner Springs City Library",66049,1
"Bonner Springs City Library",66052,88
"Bonner Springs City Library",66053,15
"Bonner Springs City Library",66061,10
"Bonner Springs City Library",66062,4
"Bonner Springs City Library",66066,3
"Bonner Springs City Library",66086,75
"Bonner Springs City Library",66102,4
"Bonner Springs City Library",66104,6
"Bonner Springs City Library",66106,10
"Bonner Springs City Library",66109,760
"Bonner Springs City Library",66111,530
"Bonner Springs City Library",66112,13
"Bonner Springs City Library",66113,234
"Bonner Springs City Library",66212,1
"Bonner Springs City Library",66213,2
"Bonner Springs City Library",66215,17
"Bonner Springs City Library",66216,37
"Bonner Springs City Library",66218,175
"Bonner Springs City Library",66226,238
"Bonner Springs City Library",66227,50
"Bonner Springs City Library",66427,2
