Library,"Borrower category","Total items checked out/renewed","Adult items checked out/renewed","Young-adult items checked out/renewed","Juvenile items checked out/renewed","Other items checked out/renewed"
"Atchison Public Library",Adult,4407,2176,260,1971,
"Atchison Public Library","Adult - college student",76,33,30,13,
"Atchison Public Library","Adult - digital only",,,,,
"Atchison Public Library","Adult - homebound",87,87,,,
"Atchison Public Library","Adult - library associate",,,,,
"Atchison Public Library","Adult - library board of trustees",,,,,
"Atchison Public Library","Adult - other",487,317,24,146,
"Atchison Public Library","Adult - self registered during the pandemic",,,,,
"Atchison Public Library","Adult - temporary",,,,,
"Atchison Public Library","Highland Community College - community member",,,,,
"Atchison Public Library","Highland Community College - faculty",,,,,
"Atchison Public Library","Highland Community College - faculty outreach",,,,,
"Atchison Public Library","Highland Community College - staff",,,,,
"Atchison Public Library","Highland Community College - student",,,,,
"Atchison Public Library","Highland Community College - student outreach",,,,,
"Atchison Public Library","Louisburg - Hoopla access",,,,,
"Atchison Public Library","Minor - (age 00-11)",,,,,
"Atchison Public Library","Minor - (age 00-17)",390,90,30,270,
"Atchison Public Library","Minor - (age 12)",,,,,
"Atchison Public Library","Minor - (age 13-17)",3,,3,,
"Atchison Public Library","Minor - digital only (age 00-11)",,,,,
"Atchison Public Library","Minor - digital only (age 00-17)",,,,,
"Atchison Public Library","Minor - digital only (age 12)",,,,,
"Atchison Public Library","Minor - digital only (ages 13-17)",,,,,
"Atchison Public Library","Minor - Osawatomie student (age 00-17)",,,,,
"Atchison Public Library","Minor - other (age 00-17)",1,,1,,
"Atchison Public Library","Minor - temporary",,,,,
"Atchison Public Library","Organization - book club",,,,,
"Atchison Public Library","Organization - interlibrary loan (exempt-ILL)",78,57,10,11,
"Atchison Public Library","Staff - in house use (exempt)",34,18,5,11,
"Atchison Public Library","Staff - library associate (exempt)",223,95,4,124,
"Atchison Public Library","Staff - Permissions template",,,,,
"Atchison Public Library","Staff - SIP user",,,,,
"Atchison Public Library","Staff - statistical purposes",,,,,
"Atchison Public Library","Staff - system login (exempt)",,,,,
"Atchison Public Library","Student (exempt)",,,,,
"Atchison Public Library","Student (public library)",,,,,
"Atchison Public Library","Teacher/Faculty/Administrator (exempt)",40,4,3,33,
"Atchison Public Library","Teacher/Faculty/Administrator (public library)",,,,,
"Baldwin City Public Library",Adult,1641,728,64,848,1
"Baldwin City Public Library","Adult - college student",3,3,,,
"Baldwin City Public Library","Adult - digital only",,,,,
"Baldwin City Public Library","Adult - homebound",7,7,,,
"Baldwin City Public Library","Adult - library associate",,,,,
"Baldwin City Public Library","Adult - library board of trustees",34,13,3,18,
"Baldwin City Public Library","Adult - other",892,324,41,527,
"Baldwin City Public Library","Adult - self registered during the pandemic",,,,,
"Baldwin City Public Library","Adult - temporary",,,,,
"Baldwin City Public Library","Highland Community College - community member",,,,,
"Baldwin City Public Library","Highland Community College - faculty",,,,,
"Baldwin City Public Library","Highland Community College - faculty outreach",,,,,
"Baldwin City Public Library","Highland Community College - staff",,,,,
"Baldwin City Public Library","Highland Community College - student",,,,,
"Baldwin City Public Library","Highland Community College - student outreach",,,,,
"Baldwin City Public Library","Louisburg - Hoopla access",,,,,
"Baldwin City Public Library","Minor - (age 00-11)",,,,,
"Baldwin City Public Library","Minor - (age 00-17)",171,47,29,94,1
"Baldwin City Public Library","Minor - (age 12)",,,,,
"Baldwin City Public Library","Minor - (age 13-17)",,,,,
"Baldwin City Public Library","Minor - digital only (age 00-11)",,,,,
"Baldwin City Public Library","Minor - digital only (age 00-17)",,,,,
"Baldwin City Public Library","Minor - digital only (age 12)",,,,,
"Baldwin City Public Library","Minor - digital only (ages 13-17)",,,,,
"Baldwin City Public Library","Minor - Osawatomie student (age 00-17)",,,,,
"Baldwin City Public Library","Minor - other (age 00-17)",71,13,3,55,
"Baldwin City Public Library","Minor - temporary",,,,,
"Baldwin City Public Library","Organization - book club",,,,,
"Baldwin City Public Library","Organization - interlibrary loan (exempt-ILL)",23,10,1,12,
"Baldwin City Public Library","Staff - in house use (exempt)",,,,,
"Baldwin City Public Library","Staff - library associate (exempt)",273,231,8,34,
"Baldwin City Public Library","Staff - Permissions template",,,,,
"Baldwin City Public Library","Staff - SIP user",,,,,
"Baldwin City Public Library","Staff - statistical purposes",,,,,
"Baldwin City Public Library","Staff - system login (exempt)",,,,,
"Baldwin City Public Library","Student (exempt)",,,,,
"Baldwin City Public Library","Student (public library)",,,,,
"Baldwin City Public Library","Teacher/Faculty/Administrator (exempt)",1,,,1,
"Baldwin City Public Library","Teacher/Faculty/Administrator (public library)",,,,,
"Basehor Community Library",Adult,7066,3117,470,3477,2
"Basehor Community Library","Adult - college student",,,,,
"Basehor Community Library","Adult - digital only",,,,,
"Basehor Community Library","Adult - homebound",,,,,
"Basehor Community Library","Adult - library associate",,,,,
"Basehor Community Library","Adult - library board of trustees",,,,,
"Basehor Community Library","Adult - other",203,95,11,97,
"Basehor Community Library","Adult - self registered during the pandemic",,,,,
"Basehor Community Library","Adult - temporary",,,,,
"Basehor Community Library","Highland Community College - community member",,,,,
"Basehor Community Library","Highland Community College - faculty",,,,,
"Basehor Community Library","Highland Community College - faculty outreach",,,,,
"Basehor Community Library","Highland Community College - staff",,,,,
"Basehor Community Library","Highland Community College - student",,,,,
"Basehor Community Library","Highland Community College - student outreach",,,,,
"Basehor Community Library","Louisburg - Hoopla access",,,,,
"Basehor Community Library","Minor - (age 00-11)",6,,1,5,
"Basehor Community Library","Minor - (age 00-17)",1634,264,584,785,1
"Basehor Community Library","Minor - (age 12)",1,,,1,
"Basehor Community Library","Minor - (age 13-17)",8,,8,,
"Basehor Community Library","Minor - digital only (age 00-11)",,,,,
"Basehor Community Library","Minor - digital only (age 00-17)",,,,,
"Basehor Community Library","Minor - digital only (age 12)",,,,,
"Basehor Community Library","Minor - digital only (ages 13-17)",,,,,
"Basehor Community Library","Minor - Osawatomie student (age 00-17)",,,,,
"Basehor Community Library","Minor - other (age 00-17)",3,1,2,,
"Basehor Community Library","Minor - temporary",,,,,
"Basehor Community Library","Organization - book club",,,,,
"Basehor Community Library","Organization - interlibrary loan (exempt-ILL)",50,38,5,7,
"Basehor Community Library","Staff - in house use (exempt)",116,41,7,68,
"Basehor Community Library","Staff - library associate (exempt)",38,5,1,32,
"Basehor Community Library","Staff - Permissions template",,,,,
"Basehor Community Library","Staff - SIP user",,,,,
"Basehor Community Library","Staff - statistical purposes",,,,,
"Basehor Community Library","Staff - system login (exempt)",,,,,
"Basehor Community Library","Student (exempt)",,,,,
"Basehor Community Library","Student (public library)",,,,,
"Basehor Community Library","Teacher/Faculty/Administrator (exempt)",76,11,1,64,
"Basehor Community Library","Teacher/Faculty/Administrator (public library)",,,,,
"Bern Community Library",Adult,172,102,3,67,
"Bern Community Library","Adult - college student",,,,,
