branchname,ZIP_CODE,BORROWER_COUNT,RENEWED_LM,ADDED_LM,DELETED_LM
"Atchison Public Library",-,6,1,1,
"Atchison Public Library",0,52,,,1
"Atchison Public Library",64079,1,,,
"Atchison Public Library",64098,5,,,
"Atchison Public Library",64114,1,,,
"Atchison Public Library",64118,1,,,1
"Atchison Public Library",64133,1,,,
"Atchison Public Library",64151,1,,,
"Atchison Public Library",64152,2,,,
"Atchison Public Library",64440,17,1,,
"Atchison Public Library",64484,111,5,,1
"Atchison Public Library",64501,6,,,
"Atchison Public Library",64503,4,,,
"Atchison Public Library",64504,7,,,
"Atchison Public Library",64505,3,,,
"Atchison Public Library",64506,8,1,,
"Atchison Public Library",64507,5,,,1
"Atchison Public Library",66002,5525,83,40,69
"Atchison Public Library",66008,13,,,
"Atchison Public Library",66012,2,,,
"Atchison Public Library",66016,118,,2,
"Atchison Public Library",66017,12,,,
"Atchison Public Library",66020,18,,,
"Atchison Public Library",66023,77,2,,
"Atchison Public Library",66027,1,,,
"Atchison Public Library",66035,9,,,
"Atchison Public Library",66041,110,2,,1
"Atchison Public Library",66043,5,,,
"Atchison Public Library",66044,9,,,
"Atchison Public Library",66048,32,1,,1
"Atchison Public Library",66049,6,,,
"Atchison Public Library",66053,1,,,
"Atchison Public Library",66058,21,1,1,
"Atchison Public Library",66060,28,,,2
"Atchison Public Library",66061,3,,,
"Atchison Public Library",66067,1,,,
"Atchison Public Library",66072,1,,,
"Atchison Public Library",66087,12,,,
"Atchison Public Library",66088,11,,,1
"Atchison Public Library",66090,4,,,
"Atchison Public Library",66097,8,,,
"Atchison Public Library",66101,1,,,
"Atchison Public Library",66104,1,,,
"Atchison Public Library",66106,1,,,
"Atchison Public Library",66109,2,,,
"Atchison Public Library",66113,1,,,
"Atchison Public Library",66202,1,,,
"Atchison Public Library",66203,1,,,
"Atchison Public Library",66205,1,,,
"Atchison Public Library",66210,2,,,
"Atchison Public Library",66212,1,,,
"Atchison Public Library",66213,1,,,
"Atchison Public Library",66214,1,,,
"Atchison Public Library",66215,2,,,
"Atchison Public Library",66216,2,,,
"Atchison Public Library",66414,1,,,
"Atchison Public Library",66422,1,,,
"Atchison Public Library",66424,23,1,,
"Atchison Public Library",66434,1,,,
"Atchison Public Library",66436,6,,,
"Atchison Public Library",66439,11,,,
"Atchison Public Library",66509,3,,,
"Atchison Public Library",66512,1,,,
"Atchison Public Library",66523,1,,,
"Atchison Public Library",66532,6,,,
"Atchison Public Library",66534,2,,,
"Atchison Public Library",66552,1,,,
"Atchison Public Library",66604,2,,,
"Atchison Public Library",66606,1,,,
"Atchison Public Library",66607,1,,,
"Atchison Public Library",66614,1,,,
"Atchison Public Library",66618,1,,,
"Atchison Public Library",66619,1,,,
"Atchison Public Library",66945,1,,,
"Atchison Public Library",67052,1,,,
"Atchison Public Library",67212,1,,,
"Baldwin City Public Library",-,3,,1,1
"Baldwin City Public Library",0,57,,1,
"Baldwin City Public Library",64133,2,,,
"Baldwin City Public Library",64152,1,,,
"Baldwin City Public Library",66006,3223,44,16,21
"Baldwin City Public Library",66007,4,,,
"Baldwin City Public Library",66014,1,,,
"Baldwin City Public Library",66018,1,,,
"Baldwin City Public Library",66021,33,,,
"Baldwin City Public Library",66025,52,1,,
"Baldwin City Public Library",66030,15,,,
"Baldwin City Public Library",66032,1,,,
"Baldwin City Public Library",66043,1,,,
"Baldwin City Public Library",66044,33,,1,1
"Baldwin City Public Library",66046,51,,,
"Baldwin City Public Library",66047,37,,1,
"Baldwin City Public Library",66048,2,,,
"Baldwin City Public Library",66049,21,,1,
"Baldwin City Public Library",66050,1,,,
"Baldwin City Public Library",66053,1,,,
"Baldwin City Public Library",66060,1,,,
"Baldwin City Public Library",66061,9,,,
"Baldwin City Public Library",66062,3,,,
"Baldwin City Public Library",66064,2,,,
