Library,"Borrower zipcode","Checkouts + renewals"
"Atchison Public Library",,1
"Atchison Public Library",0,103
"Atchison Public Library",64484,27
"Atchison Public Library",64506,3
"Atchison Public Library",-,4
"Atchison Public Library",66002,5827
"Atchison Public Library",66008,34
"Atchison Public Library",66016,62
"Atchison Public Library",66017,6
"Atchison Public Library",66020,30
"Atchison Public Library",66023,23
"Atchison Public Library",66035,8
"Atchison Public Library",66041,155
"Atchison Public Library",66043,3
"Atchison Public Library",66048,17
"Atchison Public Library",66058,14
"Atchison Public Library",66060,16
"Atchison Public Library",66062,3
"Atchison Public Library",66066,9
"Atchison Public Library",66087,20
"Atchison Public Library",66088,5
"Atchison Public Library",66097,18
"Atchison Public Library",66205,38
"Atchison Public Library",66414,5
"Atchison Public Library",66424,25
"Atchison Public Library",66439,5
"Baldwin City Public Library",0,91
"Baldwin City Public Library",66006,3001
"Baldwin City Public Library",66021,3
"Baldwin City Public Library",66025,85
"Baldwin City Public Library",66030,46
"Baldwin City Public Library",66044,22
"Baldwin City Public Library",66046,53
"Baldwin City Public Library",66047,35
"Baldwin City Public Library",66049,44
"Baldwin City Public Library",66067,71
"Baldwin City Public Library",66076,6
"Baldwin City Public Library",66092,151
"Baldwin City Public Library",66436,12
"Baldwin City Public Library",66524,64
"Basehor Community Library",,4
"Basehor Community Library",0,302
"Basehor Community Library",-,7
"Basehor Community Library",64506,29
"Basehor Community Library",66006,6
"Basehor Community Library",66007,7553
"Basehor Community Library",66012,808
"Basehor Community Library",66014,12
"Basehor Community Library",66020,28
"Basehor Community Library",66027,3
"Basehor Community Library",66043,288
"Basehor Community Library",66044,50
"Basehor Community Library",66046,37
"Basehor Community Library",66047,1
"Basehor Community Library",66048,459
"Basehor Community Library",66049,27
"Basehor Community Library",66052,50
"Basehor Community Library",66054,25
"Basehor Community Library",66062,2
"Basehor Community Library",66073,9
"Basehor Community Library",66086,757
"Basehor Community Library",66102,41
"Basehor Community Library",66109,1060
"Basehor Community Library",66111,2
"Basehor Community Library",66112,9
"Basehor Community Library",66212,28
"Basehor Community Library",66218,25
"Basehor Community Library",66226,23
"Basehor Community Library",66227,15
"Basehor Community Library",66614,6
"Bern Community Library",66408,241
"Bern Community Library",66534,15
"Bern Community Library",68337,4
"Bonner Springs City Library",0,542
"Bonner Springs City Library",64152,2
"Bonner Springs City Library",66007,144
"Bonner Springs City Library",66012,3565
"Bonner Springs City Library",66018,39
"Bonner Springs City Library",66021,18
"Bonner Springs City Library",66027,4
"Bonner Springs City Library",66030,1
"Bonner Springs City Library",66032,1
"Bonner Springs City Library",66043,140
"Bonner Springs City Library",66044,3
"Bonner Springs City Library",66048,30
"Bonner Springs City Library",66052,120
"Bonner Springs City Library",66053,2
"Bonner Springs City Library",66054,27
"Bonner Springs City Library",66061,13
"Bonner Springs City Library",66062,12
"Bonner Springs City Library",66075,2
"Bonner Springs City Library",66086,53
"Bonner Springs City Library",66102,7
"Bonner Springs City Library",66104,2
"Bonner Springs City Library",66106,14
"Bonner Springs City Library",66109,1087
"Bonner Springs City Library",66111,688
"Bonner Springs City Library",66112,7
"Bonner Springs City Library",66113,200
"Bonner Springs City Library",66203,15
"Bonner Springs City Library",66212,2
"Bonner Springs City Library",66213,2
"Bonner Springs City Library",66215,7
"Bonner Springs City Library",66216,77
"Bonner Springs City Library",66218,225
"Bonner Springs City Library",66220,5
"Bonner Springs City Library",66226,324
"Bonner Springs City Library",66227,20
"Bonner Springs City Library",66411,1
"Bonner Springs City Library",66502,2
"Bonner Springs City Library",66536,1
"Bonner Springs City Library",66547,2
"Bonner Springs City Library",66701,1
"Bonner Springs City Library",66736,1
"Bonner Springs City Library",66748,1
"Bonner Springs City Library",66749,1
"Bonner Springs City Library",66762,1
"Bonner Springs City Library",66801,3
"Bonner Springs City Library",66852,1
"Bonner Springs City Library",66861,1
"Bonner Springs City Library",66968,1
"Bonner Springs City Library",67002,1
"Bonner Springs City Library",67005,1
"Bonner Springs City Library",67042,1
"Bonner Springs City Library",67062,1
"Bonner Springs City Library",67107,1
"Bonner Springs City Library",67114,2
"Bonner Springs City Library",67154,1
"Bonner Springs City Library",67156,1
"Bonner Springs City Library",67410,2
"Bonner Springs City Library",67449,1
"Bonner Springs City Library",67456,1
"Bonner Springs City Library",67501,1
"Bonner Springs City Library",67522,1
"Bonner Springs City Library",67579,3
"Bonner Springs City Library",67601,2
"Bonner Springs City Library",67654,1
"Bonner Springs City Library",67663,1
"Bonner Springs City Library",67701,1
"Bonner Springs City Library",67735,2
"Bonner Springs City Library",67846,1
"Bonner Springs City Library",67880,1
"Bonner Springs City Library",67901,1
"Bonner Springs City Library",-,14
"Burlingame Community Library",0,5
"Burlingame Community Library",66402,2
"Burlingame Community Library",66413,560
"Burlingame Community Library",66414,34
"Burlingame Community Library",66537,3
"Carbondale City Library",66409,4
"Carbondale City Library",66414,620
"Carbondale City Library",66451,15
"Carbondale City Library",66523,22
"Carbondale City Library",66524,17
"Carbondale City Library",66537,233
"Carbondale City Library",66546,4
"Carbondale City Library",66605,13
"Carbondale City Library",66615,2
"Carbondale City Library",-,3
"Centralia Community Library",0,2
"Centralia Community Library",66060,5
"Centralia Community Library",66415,422
"Centralia Community Library",66521,3
"Centralia Community Library",66538,20
"Centralia Community Library",66544,11
"Corning City Library",66417,9
"Corning City Library",66428,13
"Corning City Library",66540,2
"Doniphan County Library - Elwood",0,3
"Doniphan County Library - Elwood",66002,1
"Doniphan County Library - Elwood",66024,37
"Doniphan County Library - Elwood",66035,14
"Doniphan County Library - Elwood",66087,43
"Doniphan County Library - Elwood",66090,73
"Doniphan County Library - Highland",0,13
"Doniphan County Library - Highland",66008,2
"Doniphan County Library - Highland",66017,40
"Doniphan County Library - Highland",66035,395
"Doniphan County Library - Highland",66087,26
"Doniphan County Library - Highland",66434,3
"Doniphan County Library - Highland",66532,4
"Doniphan County Library - Troy",0,11
"Doniphan County Library - Troy",64485,1
"Doniphan County Library - Troy",66002,16
"Doniphan County Library - Troy",66008,62
"Doniphan County Library - Troy",66017,21
"Doniphan County Library - Troy",66035,66
"Doniphan County Library - Troy",66087,484
"Doniphan County Library - Troy",66090,62
"Doniphan County Library - Troy",66094,2
"Doniphan County Library - Troy",66434,6
"Doniphan County Library - Troy",-,2
"Doniphan County Library - Wathena",64485,6
"Doniphan County Library - Wathena",66008,1
"Doniphan County Library - Wathena",66024,2
"Doniphan County Library - Wathena",66087,6
"Doniphan County Library - Wathena",66090,599
"Effingham Community Library",0,24
"Effingham Community Library",66002,7
"Effingham Community Library",66016,19
"Effingham Community Library",66023,254
"Effingham Community Library",66041,37
"Effingham Community Library",66058,57
"Effingham Community Library",66111,4
"Effingham Community Library",66534,3
"Eudora Community Library",0,26
"Eudora Community Library",66006,3
"Eudora Community Library",66018,21
"Eudora Community Library",66021,4
"Eudora Community Library",66025,2366
"Eudora Community Library",66044,64
"Eudora Community Library",66046,20
"Eudora Community Library",66047,42
"Eudora Community Library",66049,11
"Eudora Community Library",66052,29
"Eudora Community Library",66061,3
"Eudora Community Library",66109,4
"Everest, Barnes Reading Room",66041,6
"Everest, Barnes Reading Room",66070,1
"Everest, Barnes Reading Room",66424,95
"Everest, Barnes Reading Room",66434,3
"Everest, Barnes Reading Room",66439,21
"Everest, Barnes Reading Room",66532,1
"Hiawatha, Morrill Public Library",0,16
"Hiawatha, Morrill Public Library",66002,16
"Hiawatha, Morrill Public Library",66008,14
"Hiawatha, Morrill Public Library",66017,1
"Hiawatha, Morrill Public Library",66027,1
"Hiawatha, Morrill Public Library",-,11
"Hiawatha, Morrill Public Library",66035,66
"Hiawatha, Morrill Public Library",66041,15
"Hiawatha, Morrill Public Library",66058,4
"Hiawatha, Morrill Public Library",66087,7
"Hiawatha, Morrill Public Library",66088,2
"Hiawatha, Morrill Public Library",66094,16
"Hiawatha, Morrill Public Library",66419,2
"Hiawatha, Morrill Public Library",66424,31
"Hiawatha, Morrill Public Library",66425,16
"Hiawatha, Morrill Public Library",66434,2223
"Hiawatha, Morrill Public Library",66439,52
"Hiawatha, Morrill Public Library",66515,31
"Hiawatha, Morrill Public Library",66527,16
"Hiawatha, Morrill Public Library",66532,203
"Hiawatha, Morrill Public Library",66534,107
"Hiawatha, Morrill Public Library",66550,2
"Hiawatha, Morrill Public Library",66604,1
"Hiawatha, Morrill Public Library",67654,2
"Hiawatha, Morrill Public Library",67735,1
"Hiawatha, Morrill Public Library",67835,1
"Hiawatha, Morrill Public Library",67860,1
"Hiawatha, Morrill Public Library",68355,13
"Hiawatha, Morrill Public Library",68376,1
"Highland Community College",0,4
"Highland Community College",66017,1
"Highland Community College",66087,6
"Holton, Beck-Bookman Library",0,17
"Holton, Beck-Bookman Library",66056,1
"Holton, Beck-Bookman Library",66058,11
"Holton, Beck-Bookman Library",66088,1
"Holton, Beck-Bookman Library",66218,2
"Holton, Beck-Bookman Library",66416,124
"Holton, Beck-Bookman Library",66418,7
"Holton, Beck-Bookman Library",66419,42
"Holton, Beck-Bookman Library",66432,14
"Holton, Beck-Bookman Library",66434,47
"Holton, Beck-Bookman Library",66436,1489
"Holton, Beck-Bookman Library",66439,5
"Holton, Beck-Bookman Library",66440,73
"Holton, Beck-Bookman Library",66508,1
"Holton, Beck-Bookman Library",66509,365
"Holton, Beck-Bookman Library",66516,31
"Holton, Beck-Bookman Library",66521,5
"Holton, Beck-Bookman Library",66533,7
"Holton, Beck-Bookman Library",66534,2
"Holton, Beck-Bookman Library",66540,182
"Holton, Beck-Bookman Library",66547,5
"Holton, Beck-Bookman Library",66550,6
"Holton, Beck-Bookman Library",66552,18
"Holton, Beck-Bookman Library",66615,4
"Holton, Beck-Bookman Library",66617,9
"Holton, Beck-Bookman Library",66618,2
"Holton, Beck-Bookman Library",67010,1
"Holton, Beck-Bookman Library",67026,1
"Holton, Beck-Bookman Library",67042,1
"Holton, Beck-Bookman Library",67062,2
"Holton, Beck-Bookman Library",67107,1
"Holton, Beck-Bookman Library",67154,1
"Holton, Beck-Bookman Library",67219,2
"Holton, Beck-Bookman Library",67410,2
"Holton, Beck-Bookman Library",67432,1
"Holton, Beck-Bookman Library",67449,1
"Holton, Beck-Bookman Library",67579,1
"Holton, Beck-Bookman Library",67601,3
"Holton, Beck-Bookman Library",67752,1
"Holton, Beck-Bookman Library",67951,1
"Holton, Beck-Bookman Library",-,23
"Horton Public Library",0,29
"Horton Public Library",66424,9
"Horton Public Library",66439,140
"Horton Public Library",66532,2
"Lansing Community Library",0,6
"Lansing Community Library",66007,23
"Lansing Community Library",66012,5
"Lansing Community Library",66020,58
"Lansing Community Library",66027,12
"Lansing Community Library",66043,2088
"Lansing Community Library",66048,999
"Lansing Community Library",66086,30
"Lansing Community Library",66109,38
"Lansing Community Library",66111,2
"Lansing Community Library",66202,5
"Lansing Community Library",66210,15
"Lansing Community Library",66212,23
"Lansing Community Library",-,3
"Leavenworth Public Library",0,24
"Leavenworth Public Library",-,19
"Leavenworth Public Library",64079,1
"Leavenworth Public Library",64098,2
"Leavenworth Public Library",64119,12
"Leavenworth Public Library",64152,1
"Leavenworth Public Library",66002,20
"Leavenworth Public Library",66007,23
