branchname,ZIP_CODE,BORROWER_COUNT,RENEWED_LM,ADDED_LM,DELETED_LM
"Atchison Public Library",-,3,,3,
"Atchison Public Library",0,51,,,1
"Atchison Public Library",64079,2,,,
"Atchison Public Library",64098,5,,,1
"Atchison Public Library",64114,1,,,
"Atchison Public Library",64118,2,,,
"Atchison Public Library",64133,1,,,
"Atchison Public Library",64151,1,,,
"Atchison Public Library",64152,2,,,
"Atchison Public Library",64440,19,,,
"Atchison Public Library",64484,110,1,,1
"Atchison Public Library",64501,6,,,
"Atchison Public Library",64503,4,,,
"Atchison Public Library",64504,8,,,
"Atchison Public Library",64505,3,,,
"Atchison Public Library",64506,8,,,1
"Atchison Public Library",64507,6,,,
"Atchison Public Library",66002,5531,126,57,34
"Atchison Public Library",66008,13,2,,
"Atchison Public Library",66012,3,,,
"Atchison Public Library",66016,119,2,,1
"Atchison Public Library",66017,12,,,
"Atchison Public Library",66020,22,,,1
"Atchison Public Library",66023,81,5,,
"Atchison Public Library",66027,1,,1,
"Atchison Public Library",66035,8,,,
"Atchison Public Library",66041,107,5,2,
"Atchison Public Library",66043,5,,,
"Atchison Public Library",66044,10,,,
"Atchison Public Library",66046,1,,,
"Atchison Public Library",66048,35,1,,
"Atchison Public Library",66049,6,,,
"Atchison Public Library",66058,20,,1,
"Atchison Public Library",66060,34,,,
"Atchison Public Library",66061,3,,,
"Atchison Public Library",66067,1,,,
"Atchison Public Library",66072,1,,,
"Atchison Public Library",66087,11,,1,
"Atchison Public Library",66088,12,,,
"Atchison Public Library",66090,4,,,
"Atchison Public Library",66097,8,1,,
"Atchison Public Library",66101,1,,,
"Atchison Public Library",66104,1,,,
"Atchison Public Library",66106,1,,,
"Atchison Public Library",66109,2,,,
"Atchison Public Library",66111,0,,,1
"Atchison Public Library",66113,1,,,
"Atchison Public Library",66203,1,,,
"Atchison Public Library",66210,2,,,
"Atchison Public Library",66212,1,,,
"Atchison Public Library",66213,1,,,
"Atchison Public Library",66214,1,,,
"Atchison Public Library",66215,2,1,,
"Atchison Public Library",66216,2,,,
"Atchison Public Library",66422,1,,,
"Atchison Public Library",66424,21,,,
