Library,"Borrower zipcode","Checkouts + renewals"
"Atchison Public Library",0,65
"Atchison Public Library",-,16
"Atchison Public Library",64440,2
"Atchison Public Library",64484,37
"Atchison Public Library",66002,4325
"Atchison Public Library",66006,2
"Atchison Public Library",66008,43
"Atchison Public Library",66016,35
"Atchison Public Library",66017,1
"Atchison Public Library",66020,28
"Atchison Public Library",66023,23
"Atchison Public Library",66035,4
"Atchison Public Library",66041,74
"Atchison Public Library",66048,8
"Atchison Public Library",66052,1
"Atchison Public Library",66058,4
"Atchison Public Library",66060,2
"Atchison Public Library",66061,4
"Atchison Public Library",66066,3
"Atchison Public Library",66087,1
"Atchison Public Library",66090,1
"Atchison Public Library",66097,15
"Atchison Public Library",66205,12
"Atchison Public Library",66434,1
"Atchison Public Library",66439,15
"Atchison Public Library",66512,2
"Atchison Public Library",66532,2
"Baldwin City Public Library",0,31
"Baldwin City Public Library",66006,2390
"Baldwin City Public Library",66025,38
"Baldwin City Public Library",66030,16
"Baldwin City Public Library",66046,28
"Baldwin City Public Library",66047,142
"Baldwin City Public Library",66048,3
"Baldwin City Public Library",66049,13
"Baldwin City Public Library",66067,9
"Baldwin City Public Library",66071,1
"Baldwin City Public Library",66092,128
"Baldwin City Public Library",66524,23
"Basehor Community Library",0,252
"Basehor Community Library",66007,4877
"Basehor Community Library",66012,574
"Basehor Community Library",66014,14
"Basehor Community Library",66027,6
"Basehor Community Library",66043,119
"Basehor Community Library",66044,9
"Basehor Community Library",66046,16
"Basehor Community Library",66048,393
"Basehor Community Library",66049,7
"Basehor Community Library",66052,10
"Basehor Community Library",66054,18
"Basehor Community Library",66061,12
"Basehor Community Library",66086,804
"Basehor Community Library",66102,7
"Basehor Community Library",66109,766
"Basehor Community Library",66111,10
"Basehor Community Library",66112,11
"Basehor Community Library",66218,3
"Basehor Community Library",66227,3
"Basehor Community Library",66614,21
"Bern Community Library",66408,119
"Bern Community Library",66534,73
"Bern Community Library",66538,5
"Bern Community Library",68337,7
"Bonner Springs City Library",0,325
"Bonner Springs City Library",66007,83
"Bonner Springs City Library",66012,2709
"Bonner Springs City Library",66018,2
"Bonner Springs City Library",66021,29
"Bonner Springs City Library",66030,1
"Bonner Springs City Library",66043,94
"Bonner Springs City Library",66048,37
"Bonner Springs City Library",66049,1
"Bonner Springs City Library",66052,97
"Bonner Springs City Library",66053,10
"Bonner Springs City Library",66061,53
"Bonner Springs City Library",66062,12
"Bonner Springs City Library",66075,1
"Bonner Springs City Library",66086,35
"Bonner Springs City Library",66102,9
"Bonner Springs City Library",66109,454
"Bonner Springs City Library",66111,441
"Bonner Springs City Library",66112,6
"Bonner Springs City Library",66113,212
"Bonner Springs City Library",66212,2
"Bonner Springs City Library",66213,1
"Bonner Springs City Library",66215,20
"Bonner Springs City Library",66216,41
"Bonner Springs City Library",66218,136
"Bonner Springs City Library",66220,1
"Bonner Springs City Library",66226,273
"Bonner Springs City Library",66227,25
"Bonner Springs City Library",66411,2
"Bonner Springs City Library",66427,1
"Bonner Springs City Library",66502,2
"Bonner Springs City Library",66508,1
"Bonner Springs City Library",66536,6
"Bonner Springs City Library",66547,1
"Bonner Springs City Library",66801,3
"Bonner Springs City Library",66835,2
"Bonner Springs City Library",66839,1
"Bonner Springs City Library",66901,1
"Bonner Springs City Library",67002,3
"Bonner Springs City Library",67005,2
"Bonner Springs City Library",67045,1
"Bonner Springs City Library",67068,1
"Bonner Springs City Library",67114,1
"Bonner Springs City Library",67152,1
"Bonner Springs City Library",67156,1
"Bonner Springs City Library",67219,1
"Bonner Springs City Library",67432,1
"Bonner Springs City Library",67456,2
"Bonner Springs City Library",67460,1
"Bonner Springs City Library",-,5
"Bonner Springs City Library",67467,2
"Bonner Springs City Library",67579,2
"Bonner Springs City Library",67654,1
"Bonner Springs City Library",67701,3
"Bonner Springs City Library",67735,2
"Bonner Springs City Library",67736,1
"Bonner Springs City Library",67752,1
"Bonner Springs City Library",67757,2
"Bonner Springs City Library",67839,1
"Bonner Springs City Library",67879,1
"Bonner Springs City Library",67951,1
"Burlingame Community Library",0,6
"Burlingame Community Library",66413,314
"Burlingame Community Library",66414,31
"Burlingame Community Library",66431,1
"Burlingame Community Library",66523,11
"Burlingame Community Library",66537,9
"Burlingame Community Library",66543,2
"Burlingame Community Library",66617,18
"Burlingame Community Library",66833,5
"Carbondale City Library",66409,5
"Carbondale City Library",66413,35
"Carbondale City Library",66414,353
"Carbondale City Library",66523,30
"Carbondale City Library",66537,171
"Carbondale City Library",66546,40
"Carbondale City Library",66611,4
"Centralia Community Library",66415,295
"Centralia Community Library",66538,15
"Centralia Community Library",66544,15
"Corning City Library",66417,15
"Corning City Library",66540,3
"Doniphan County Library - Elwood",-,2
"Doniphan County Library - Elwood",64501,3
"Doniphan County Library - Elwood",66002,2
"Doniphan County Library - Elwood",66024,33
"Doniphan County Library - Elwood",66035,3
"Doniphan County Library - Elwood",66087,19
"Doniphan County Library - Elwood",66090,19
