branchname,"ITEM TYPE","TOTAL ITEMS","ADULT ITEMS","YOUNG ADULT ITEMS","JUVENILE ITEMS","TOTAL ADDED LM","ADULT ADDED LM","YOUNG ADULT ADDED LM","JUVENILE ADDED LM","TOTAL DELETED LM","ADULT DELETED LM","YOUNG ADULT DELETED LM","JUVENILE DELETED LM"
"Atchison Public Library",(Unclassified),,,,,,,,,,,,
"Atchison Public Library",AUDIOBOOK,2397,2327,2,68,,,,,,,,
"Atchison Public Library","AUDIOBOOK (MEDIA PLAYER)",,,,,,,,,,,,
"Atchison Public Library","Audiobook (new)",54,54,,,10,10,,,,,,
"Atchison Public Library",Book,47649,29936,4896,12817,10,5,,5,82,,,
"Atchison Public Library","Book (local requests only)",,,,,,,,,,,,
"Atchison Public Library","Book (new)",1095,568,167,360,231,109,35,87,2,,,
"Atchison Public Library","Book (no requests allowed)",1,1,,,1,1,,,,,,
"Atchison Public Library","Book club set",,,,,,,,,,,,
"Atchison Public Library","Computers and internet : Laptop computer",,,,,,,,,,,,
"Atchison Public Library","Computers and internet : Launchpad tablet",1,,,1,,,,,,,,
"Atchison Public Library","Computers and internet : Public computer",,,,,,,,,,,,
"Atchison Public Library","Computers and internet : Software",,,,,,,,,,,,
"Atchison Public Library","Computers and internet : Tablets, e-readers, and personal computing devices",,,,,,,,,,,,
"Atchison Public Library","COMPUTERS AND INTERNET : WIRELESS INTERNET HOTSPOT",,,,,,,,,,,,
"Atchison Public Library","E-content : Digital content",,,,,,,,,,,,
"Atchison Public Library","E-content : E-learning course",,,,,,,,,,,,
"Atchison Public Library","Inter-library loan",105,100,,5,60,58,,2,66,28,,
"Atchison Public Library","Inter-library loan - 07 day loan",,,,,,,,,,,,
"Atchison Public Library","Inter-library loan - 14 day loan",,,,,,,,,,,,
"Atchison Public Library","Inter-library loan - 21 day loan",,,,,,,,,,,,
"Atchison Public Library","Inter-library loan - 28 day loan",,,,,,,,,,,,
"Atchison Public Library",Key,,,,,,,,,,,,
"Atchison Public Library","Kit or multi-part set",19,12,1,6,,,,,,,,
"Atchison Public Library",MAGAZINE,,,,,,,,,,,,
"Atchison Public Library","Magazine (new)",,,,,,,,,,,,
"Atchison Public Library",Music,3,3,,,,,,,,,,
"Atchison Public Library",Pamphlet,,,,,,,,,,,,
"Atchison Public Library","Reference material",1112,1110,,2,,,,,,,,
"Atchison Public Library","Reserve desk : Highland Community College",,,,,,,,,,,,
"Atchison Public Library",Room,,,,,,,,,,,,
"Atchison Public Library","Special collections (local requests only)",225,153,,72,,,,,3,,,
"Atchison Public Library","Special collections (no requests allowed)",7,5,1,1,,,,,,,,
"Atchison Public Library","Story walk",,,,,,,,,,,,
"Atchison Public Library","Things : Artwork",,,,,,,,,,,,
"Atchison Public Library","Things : Bicycles (and bicycle accessories)",,,,,,,,,,,,
"Atchison Public Library","Things : Board games, dolls, puzzles, and toys",28,28,,,,,,,,,,
"Atchison Public Library","Things : Clothing, costumes, and masks",,,,,,,,,,,,
"Atchison Public Library","Things : Cooking equipment",70,,,70,,,,,,,,
"Atchison Public Library","Things : Die cut equipment",,,,,,,,,,,,
"Atchison Public Library","Things : Equipment",5,,,5,,,,,,,,
"Atchison Public Library","Things : Kansas Parks Pass",,,,,,,,,,,,
"Atchison Public Library","Things : Museum pass / event pass",,,,,,,,,,,,
"Atchison Public Library","Things : Recreation and sports",,,,,,,,,,,,
"Atchison Public Library","Things : Tools",,,,,,,,,,,,
"Atchison Public Library",Video,4879,4023,,856,,,,,6,,,
"Atchison Public Library","Video (Local requests only)",,,,,,,,,,,,
"Atchison Public Library","Video (New)",160,136,,24,13,13,,,3,,,
"Atchison Public Library","Video (No requests allowed)",,,,,,,,,,,,
"Atchison Public Library","Video (Television)",871,751,,120,,,,,1,,,
"Atchison Public Library","Video game",19,15,4,,,,,,,,,
"Baldwin City Public Library",(Unclassified),3,1,,2,,,,,,,,
"Baldwin City Public Library",AUDIOBOOK,558,489,1,68,,,,,1,,,
"Baldwin City Public Library","AUDIOBOOK (MEDIA PLAYER)",,,,,,,,,,,,
"Baldwin City Public Library","Audiobook (new)",,,,,,,,,,,,
"Baldwin City Public Library",Book,21577,11249,1607,8721,162,101,,61,18,,,
"Baldwin City Public Library","Book (local requests only)",2,2,,,2,2,,,,,,
"Baldwin City Public Library","Book (new)",1,,,1,,,,,,,,
"Baldwin City Public Library","Book (no requests allowed)",,,,,,,,,,,,
"Baldwin City Public Library","Book club set",1,1,,,1,1,,,,,,
"Baldwin City Public Library","Computers and internet : Laptop computer",20,20,,,,,,,,,,
"Baldwin City Public Library","Computers and internet : Launchpad tablet",2,1,,1,,,,,,,,
"Baldwin City Public Library","Computers and internet : Public computer",9,9,,,,,,,,,,
"Baldwin City Public Library","Computers and internet : Software",,,,,,,,,,,,
"Baldwin City Public Library","Computers and internet : Tablets, e-readers, and personal computing devices",,,,,,,,,,,,
"Baldwin City Public Library","COMPUTERS AND INTERNET : WIRELESS INTERNET HOTSPOT",12,12,,,,,,,,,,
"Baldwin City Public Library","E-content : Digital content",,,,,,,,,,,,
"Baldwin City Public Library","E-content : E-learning course",,,,,,,,,,,,
"Baldwin City Public Library","Inter-library loan",12,10,,2,5,4,,1,27,13,,1
"Baldwin City Public Library","Inter-library loan - 07 day loan",,,,,,,,,,,,
"Baldwin City Public Library","Inter-library loan - 14 day loan",,,,,,,,,,,,
"Baldwin City Public Library","Inter-library loan - 21 day loan",,,,,,,,,,,,
"Baldwin City Public Library","Inter-library loan - 28 day loan",,,,,,,,,,,,
"Baldwin City Public Library",Key,2,2,,,,,,,,,,
"Baldwin City Public Library","Kit or multi-part set",33,29,,4,,,,,,,,
"Baldwin City Public Library",MAGAZINE,48,43,3,2,9,9,,,21,2,,
"Baldwin City Public Library","Magazine (new)",,,,,,,,,,,,
"Baldwin City Public Library",Music,6,6,,,,,,,,,,
"Baldwin City Public Library",Pamphlet,17,17,,,,,,,,,,
"Baldwin City Public Library","Reference material",330,330,,,,,,,1,,,
"Baldwin City Public Library","Reserve desk : Highland Community College",,,,,,,,,,,,
"Baldwin City Public Library",Room,,,,,,,,,,,,
"Baldwin City Public Library","Special collections (local requests only)",62,29,5,28,,,,,,,,
"Baldwin City Public Library","Special collections (no requests allowed)",28,28,,,,,,,,,,
"Baldwin City Public Library","Story walk",,,,,,,,,,,,
"Baldwin City Public Library","Things : Artwork",,,,,,,,,,,,
"Baldwin City Public Library","Things : Bicycles (and bicycle accessories)",,,,,,,,,,,,
"Baldwin City Public Library","Things : Board games, dolls, puzzles, and toys",,,,,,,,,,,,
"Baldwin City Public Library","Things : Clothing, costumes, and masks",,,,,,,,,,,,
"Baldwin City Public Library","Things : Cooking equipment",3,3,,,,,,,,,,
"Baldwin City Public Library","Things : Die cut equipment",,,,,,,,,,,,
"Baldwin City Public Library","Things : Equipment",52,52,,,,,,,,,,
"Baldwin City Public Library","Things : Kansas Parks Pass",,,,,,,,,,,,
"Baldwin City Public Library","Things : Museum pass / event pass",,,,,,,,,,,,
"Baldwin City Public Library","Things : Recreation and sports",,,,,,,,,,,,
"Baldwin City Public Library","Things : Tools",,,,,,,,,,,,
"Baldwin City Public Library",Video,2833,2123,1,709,12,10,,2,3,1,,
"Baldwin City Public Library","Video (Local requests only)",2,2,,,2,2,,,,,,
"Baldwin City Public Library","Video (New)",,,,,,,,,,,,
"Baldwin City Public Library","Video (No requests allowed)",,,,,,,,,,,,
"Baldwin City Public Library","Video (Television)",4,4,,,,,,,,,,
"Baldwin City Public Library","Video game",52,52,,,,,,,1,,,
"Basehor Community Library",(Unclassified),1,,,1,,,,,,,,
"Basehor Community Library",AUDIOBOOK,2204,1472,71,661,26,14,,12,1,,,
"Basehor Community Library","AUDIOBOOK (MEDIA PLAYER)",132,56,8,68,13,,1,12,,,,
"Basehor Community Library","Audiobook (new)",,,,,,,,,,,,
"Basehor Community Library",Book,52556,23985,9690,18881,360,249,4,107,465,2,,
"Basehor Community Library","Book (local requests only)",1,1,,,,,,,,,,
"Basehor Community Library","Book (new)",2,,1,1,,,,,,,,
"Basehor Community Library","Book (no requests allowed)",,,,,,,,,,,,
"Basehor Community Library","Book club set",1,,,1,,,,,,,,
"Basehor Community Library","Computers and internet : Laptop computer",,,,,,,,,,,,
"Basehor Community Library","Computers and internet : Launchpad tablet",1,,1,,,,,,,,,
"Basehor Community Library","Computers and internet : Public computer",1,1,,,,,,,,,,
"Basehor Community Library","Computers and internet : Software",,,,,,,,,,,,
"Basehor Community Library","Computers and internet : Tablets, e-readers, and personal computing devices",,,,,,,,,,,,
"Basehor Community Library","COMPUTERS AND INTERNET : WIRELESS INTERNET HOTSPOT",5,5,,,,,,,,,,
"Basehor Community Library","E-content : Digital content",,,,,,,,,,,,
"Basehor Community Library","E-content : E-learning course",,,,,,,,,,,,
"Basehor Community Library","Inter-library loan",21,19,1,1,9,8,,1,41,4,1,
"Basehor Community Library","Inter-library loan - 07 day loan",,,,,,,,,,,,
"Basehor Community Library","Inter-library loan - 14 day loan",,,,,,,,,,,,
"Basehor Community Library","Inter-library loan - 21 day loan",,,,,,,,,,,,
"Basehor Community Library","Inter-library loan - 28 day loan",,,,,,,,,,,,
"Basehor Community Library",Key,,,,,,,,,,,,
"Basehor Community Library","Kit or multi-part set",,,,,,,,,1,,,
"Basehor Community Library",MAGAZINE,857,517,156,184,35,26,3,6,2,,,
"Basehor Community Library","Magazine (new)",,,,,,,,,,,,
"Basehor Community Library",Music,104,,,104,,,,,1,,,
"Basehor Community Library",Pamphlet,,,,,,,,,,,,
"Basehor Community Library","Reference material",8,8,,,,,,,,,,
"Basehor Community Library","Reserve desk : Highland Community College",,,,,,,,,,,,
"Basehor Community Library",Room,,,,,,,,,,,,
"Basehor Community Library","Special collections (local requests only)",45,32,1,12,,,,,,,,
"Basehor Community Library","Special collections (no requests allowed)",8,2,,6,,,,,,,,
"Basehor Community Library","Story walk",,,,,,,,,,,,
"Basehor Community Library","Things : Artwork",,,,,,,,,,,,
"Basehor Community Library","Things : Bicycles (and bicycle accessories)",,,,,,,,,,,,
"Basehor Community Library","Things : Board games, dolls, puzzles, and toys",,,,,,,,,,,,
"Basehor Community Library","Things : Clothing, costumes, and masks",,,,,,,,,,,,
"Basehor Community Library","Things : Cooking equipment",,,,,,,,,,,,
"Basehor Community Library","Things : Die cut equipment",,,,,,,,,,,,
"Basehor Community Library","Things : Equipment",2,2,,,,,,,,,,
"Basehor Community Library","Things : Kansas Parks Pass",,,,,,,,,,,,
"Basehor Community Library","Things : Museum pass / event pass",,,,,,,,,,,,
"Basehor Community Library","Things : Recreation and sports",,,,,,,,,,,,
"Basehor Community Library","Things : Tools",,,,,,,,,,,,
"Basehor Community Library",Video,7733,6745,43,945,31,27,,4,3,1,,
"Basehor Community Library","Video (Local requests only)",,,,,,,,,,,,
"Basehor Community Library","Video (New)",,,,,,,,,,,,
"Basehor Community Library","Video (No requests allowed)",,,,,,,,,,,,
"Basehor Community Library","Video (Television)",175,160,10,5,11,11,,,,,,
"Basehor Community Library","Video game",299,7,109,183,5,1,2,2,1,,,
"Bern Community Library",(Unclassified),2,2,,,,,,,,,,
"Bern Community Library",AUDIOBOOK,509,493,1,15,,,,,,,,
"Bern Community Library","AUDIOBOOK (MEDIA PLAYER)",2,,1,1,,,,,,,,
"Bern Community Library","Audiobook (new)",1,1,,,,,,,,,,
"Bern Community Library",Book,10173,5468,486,4219,16,9,3,4,1,,,
"Bern Community Library","Book (local requests only)",,,,,,,,,,,,
"Bern Community Library","Book (new)",1,,,1,,,,,,,,
"Bern Community Library","Book (no requests allowed)",,,,,,,,,,,,
