branchname,"ITEM TYPE","TOTAL ITEMS","ADULT ITEMS","YOUNG ADULT ITEMS","JUVENILE ITEMS","TOTAL ADDED LM","ADULT ADDED LM","YOUNG ADULT ADDED LM","JUVENILE ADDED LM","TOTAL DELETED LM","ADULT DELETED LM","YOUNG ADULT DELETED LM","JUVENILE DELETED LM"
"Atchison Public Library",(Unclassified),,,,,,,,,,,,
"Atchison Public Library",AUDIOBOOK,2436,2371,2,63,1,1,,,,,,
"Atchison Public Library","AUDIOBOOK (MEDIA PLAYER)",,,,,,,,,,,,
"Atchison Public Library","Audiobook (new)",59,59,,,3,3,,,,,,
"Atchison Public Library",Book,48840,30288,5224,13328,8,7,1,,37,1,,
"Atchison Public Library","Book (local requests only)",4,,2,2,,,,,,,,
"Atchison Public Library","Book (new)",1079,626,176,277,189,72,41,76,6,,2,
"Atchison Public Library","Book (no requests allowed)",,,,,,,,,,,,
"Atchison Public Library","Book club set",,,,,,,,,,,,
"Atchison Public Library","Computers and internet : Laptop computer",,,,,,,,,,,,
"Atchison Public Library","Computers and internet : Launchpad tablet",1,,,1,,,,,,,,
"Atchison Public Library","Computers and internet : Public computer",,,,,,,,,,,,
"Atchison Public Library","Computers and internet : Software",,,,,,,,,,,,
"Atchison Public Library","Computers and internet : Tablets, e-readers, and personal computing devices",,,,,,,,,,,,
"Atchison Public Library","COMPUTERS AND INTERNET : WIRELESS INTERNET HOTSPOT",,,,,,,,,,,,
"Atchison Public Library","E-content : Digital content",,,,,,,,,,,,
"Atchison Public Library","E-content : E-learning course",,,,,,,,,,,,
"Atchison Public Library","Inter-library loan",92,87,,5,51,51,,,76,21,,
"Atchison Public Library","Inter-library loan - 07 day loan",,,,,,,,,,,,
"Atchison Public Library","Inter-library loan - 14 day loan",,,,,,,,,,,,
"Atchison Public Library","Inter-library loan - 21 day loan",,,,,,,,,,,,
"Atchison Public Library","Inter-library loan - 28 day loan",,,,,,,,,,,,
"Atchison Public Library",Key,,,,,,,,,,,,
"Atchison Public Library","Kit or multi-part set",22,15,1,6,,,,,,,,
"Atchison Public Library",MAGAZINE,,,,,,,,,,,,
"Atchison Public Library","Magazine (new)",,,,,,,,,,,,
"Atchison Public Library",Music,3,3,,,,,,,,,,
"Atchison Public Library",Pamphlet,,,,,,,,,,,,
"Atchison Public Library","Reference material",1090,1088,,2,2,2,,,,,,
"Atchison Public Library","Reserve desk : Highland Community College",,,,,,,,,,,,
"Atchison Public Library",Room,,,,,,,,,,,,
"Atchison Public Library","Special collections (local requests only)",209,139,,70,,,,,1,,,
"Atchison Public Library","Special collections (no requests allowed)",7,5,1,1,,,,,,,,
"Atchison Public Library","Story walk",,,,,,,,,,,,
"Atchison Public Library","Things : Artwork",,,,,,,,,,,,
"Atchison Public Library","Things : Bicycles (and bicycle accessories)",,,,,,,,,,,,
"Atchison Public Library","Things : Board games, dolls, puzzles, and toys",150,148,2,,,,,,1,,,
"Atchison Public Library","Things : Clothing, costumes, and masks",,,,,,,,,,,,
"Atchison Public Library","Things : Cooking equipment",70,,,70,,,,,,,,
"Atchison Public Library","Things : Die cut equipment",,,,,,,,,,,,
"Atchison Public Library","Things : Equipment",5,,,5,,,,,,,,
"Atchison Public Library","Things : Kansas Parks Pass",,,,,,,,,,,,
"Atchison Public Library","Things : Museum pass / event pass",,,,,,,,,,,,
"Atchison Public Library","Things : Recreation and sports",,,,,,,,,,,,
"Atchison Public Library","Things : Tools",,,,,,,,,,,,
"Atchison Public Library",Video,4880,4033,1,846,,,,,4,,,
"Atchison Public Library","Video (Local requests only)",,,,,,,,,,,,
"Atchison Public Library","Video (New)",181,155,,26,12,12,,,1,1,,
"Atchison Public Library","Video (No requests allowed)",,,,,,,,,,,,
"Atchison Public Library","Video (Television)",934,821,,113,,,,,,,,
"Atchison Public Library","Video game",19,15,4,,,,,,,,,
"Baldwin City Public Library",(Unclassified),2,1,,1,,,,,,,,
"Baldwin City Public Library",AUDIOBOOK,553,487,,66,,,,,,,,
"Baldwin City Public Library","AUDIOBOOK (MEDIA PLAYER)",,,,,,,,,,,,
"Baldwin City Public Library","Audiobook (new)",,,,,,,,,,,,
"Baldwin City Public Library",Book,22549,11591,1705,9253,100,37,9,54,92,,,
"Baldwin City Public Library","Book (local requests only)",1,1,,,,,,,,,,
"Baldwin City Public Library","Book (new)",1,,,1,,,,,,,,
"Baldwin City Public Library","Book (no requests allowed)",,,,,,,,,,,,
"Baldwin City Public Library","Book club set",1,1,,,,,,,,,,
"Baldwin City Public Library","Computers and internet : Laptop computer",20,20,,,,,,,,,,
"Baldwin City Public Library","Computers and internet : Launchpad tablet",2,1,,1,,,,,,,,
"Baldwin City Public Library","Computers and internet : Public computer",9,9,,,,,,,,,,
"Baldwin City Public Library","Computers and internet : Software",,,,,,,,,,,,
"Baldwin City Public Library","Computers and internet : Tablets, e-readers, and personal computing devices",,,,,,,,,,,,
"Baldwin City Public Library","COMPUTERS AND INTERNET : WIRELESS INTERNET HOTSPOT",,,,,,,,,,,,
"Baldwin City Public Library","E-content : Digital content",,,,,,,,,,,,
"Baldwin City Public Library","E-content : E-learning course",,,,,,,,,,,,
"Baldwin City Public Library","Inter-library loan",9,8,,1,4,4,,,17,5,,
"Baldwin City Public Library","Inter-library loan - 07 day loan",,,,,,,,,,,,
