Library,"Borrower zipcode","Checkouts + renewals"
"Atchison Public Library",0,75
"Atchison Public Library",64484,28
"Atchison Public Library",64506,15
"Atchison Public Library",66002,5156
"Atchison Public Library",66008,34
"Atchison Public Library",66016,64
"Atchison Public Library",66020,24
"Atchison Public Library",66023,53
"Atchison Public Library",66035,9
"Atchison Public Library",66041,77
"Atchison Public Library",66043,2
"Atchison Public Library",66048,26
"Atchison Public Library",66058,5
"Atchison Public Library",66060,4
"Atchison Public Library",66066,3
"Atchison Public Library",66087,3
"Atchison Public Library",66097,18
"Atchison Public Library",66205,11
"Atchison Public Library",66424,18
"Atchison Public Library",66434,4
"Atchison Public Library",66436,1
"Atchison Public Library",66439,14
"Atchison Public Library",66512,2
"Atchison Public Library",66532,3
"Atchison Public Library",66538,2
"Atchison Public Library",-,37
"Baldwin City Public Library",0,49
"Baldwin City Public Library",66006,2886
"Baldwin City Public Library",66025,75
"Baldwin City Public Library",66030,16
"Baldwin City Public Library",66044,82
"Baldwin City Public Library",66046,22
"Baldwin City Public Library",66047,178
"Baldwin City Public Library",66049,3
"Baldwin City Public Library",66067,79
"Baldwin City Public Library",66076,1
"Baldwin City Public Library",66092,184
"Baldwin City Public Library",66524,15
"Baldwin City Public Library",66538,10
"Basehor Community Library",0,244
"Basehor Community Library",-,15
"Basehor Community Library",66007,5795
"Basehor Community Library",66012,617
"Basehor Community Library",66014,11
"Basehor Community Library",66025,2
"Basehor Community Library",66043,269
"Basehor Community Library",66044,58
"Basehor Community Library",66046,18
"Basehor Community Library",66048,523
"Basehor Community Library",66052,19
"Basehor Community Library",66054,15
"Basehor Community Library",66058,2
"Basehor Community Library",66061,3
"Basehor Community Library",66062,6
"Basehor Community Library",66066,2
"Basehor Community Library",66080,9
"Basehor Community Library",66086,828
"Basehor Community Library",66102,5
"Basehor Community Library",66106,1
"Basehor Community Library",66109,1014
"Basehor Community Library",66111,46
"Basehor Community Library",66215,2
"Basehor Community Library",66218,16
"Basehor Community Library",66226,6
"Basehor Community Library",66227,13
"Basehor Community Library",66614,4
"Bern Community Library",66408,188
"Bern Community Library",66534,46
"Bern Community Library",66538,32
"Bern Community Library",68337,5
"Bonner Springs City Library",0,586
"Bonner Springs City Library",64152,2
"Bonner Springs City Library",66002,1
"Bonner Springs City Library",66007,87
"Bonner Springs City Library",66012,3581
"Bonner Springs City Library",66018,4
"Bonner Springs City Library",66021,40
"Bonner Springs City Library",66043,61
"Bonner Springs City Library",66048,21
"Bonner Springs City Library",66049,3
"Bonner Springs City Library",66052,81
"Bonner Springs City Library",66053,9
"Bonner Springs City Library",66061,7
"Bonner Springs City Library",66086,58
"Bonner Springs City Library",66102,11
"Bonner Springs City Library",66109,810
"Bonner Springs City Library",66111,585
"Bonner Springs City Library",66112,14
"Bonner Springs City Library",66113,112
"Bonner Springs City Library",66212,1
"Bonner Springs City Library",66213,3
"Bonner Springs City Library",66215,18
"Bonner Springs City Library",66216,47
"Bonner Springs City Library",66218,165
"Bonner Springs City Library",66220,2
"Bonner Springs City Library",66226,303
"Bonner Springs City Library",66227,26
"Bonner Springs City Library",66401,1
"Bonner Springs City Library",66411,2
"Bonner Springs City Library",66427,1
"Bonner Springs City Library",66440,1
"Bonner Springs City Library",66441,1
"Bonner Springs City Library",66502,2
"Bonner Springs City Library",66508,2
"Bonner Springs City Library",66536,1
"Bonner Springs City Library",66713,1
"Bonner Springs City Library",66748,1
"Bonner Springs City Library",66839,1
"Bonner Springs City Library",66846,2
"Bonner Springs City Library",66860,2
"Bonner Springs City Library",66901,1
"Bonner Springs City Library",67002,1
"Bonner Springs City Library",67037,1
"Bonner Springs City Library",67045,1
"Bonner Springs City Library",67062,1
"Bonner Springs City Library",67110,2
"Bonner Springs City Library",67114,2
"Bonner Springs City Library",67124,1
"Bonner Springs City Library",67301,1
"Bonner Springs City Library",67401,1
"Bonner Springs City Library",67460,1
"Bonner Springs City Library",67530,2
"Bonner Springs City Library",67550,1
"Bonner Springs City Library",67579,3
"Bonner Springs City Library",67601,2
"Bonner Springs City Library",67654,4
"Bonner Springs City Library",67701,2
"Bonner Springs City Library",67735,1
"Bonner Springs City Library",67736,2
"Bonner Springs City Library",-,14
"Bonner Springs City Library",67756,1
"Bonner Springs City Library",67846,1
"Bonner Springs City Library",67855,1
"Bonner Springs City Library",67880,2
"Bonner Springs City Library",67901,1
"Bonner Springs City Library",67950,1
"Burlingame Community Library",0,6
"Burlingame Community Library",66066,1
"Burlingame Community Library",66076,1
"Burlingame Community Library",66413,511
"Burlingame Community Library",66414,25
"Burlingame Community Library",66524,9
"Burlingame Community Library",66615,11
"Burlingame Community Library",66833,6
"Carbondale City Library",66409,8
"Carbondale City Library",66413,7
"Carbondale City Library",66414,548
"Carbondale City Library",66451,4
"Carbondale City Library",66523,31
"Carbondale City Library",66524,4
"Carbondale City Library",66537,157
"Carbondale City Library",66546,48
"Carbondale City Library",66604,2
"Carbondale City Library",66611,4
"Carbondale City Library",66615,7
"Carbondale City Library",66619,4
"Carbondale City Library",-,3
"Centralia Community Library",0,4
"Centralia Community Library",66415,276
"Centralia Community Library",66521,3
"Centralia Community Library",66538,10
"Centralia Community Library",66544,17
"Corning City Library",66417,5
"Corning City Library",66434,1
"Doniphan County Library - Elwood",64501,7
"Doniphan County Library - Elwood",66024,31
"Doniphan County Library - Elwood",66035,23
"Doniphan County Library - Elwood",66087,35
"Doniphan County Library - Elwood",66090,42
"Doniphan County Library - Highland",0,14
"Doniphan County Library - Highland",64501,14
"Doniphan County Library - Highland",66017,18
"Doniphan County Library - Highland",-,6
"Doniphan County Library - Highland",66035,312
"Doniphan County Library - Highland",66087,36
"Doniphan County Library - Highland",66094,3
"Doniphan County Library - Highland",66434,1
"Doniphan County Library - Troy",0,1
"Doniphan County Library - Troy",64501,19
"Doniphan County Library - Troy",66002,11
"Doniphan County Library - Troy",66008,34
"Doniphan County Library - Troy",66017,4
"Doniphan County Library - Troy",66024,2
"Doniphan County Library - Troy",66035,26
"Doniphan County Library - Troy",66087,400
"Doniphan County Library - Troy",66090,53
"Doniphan County Library - Troy",66094,2
"Doniphan County Library - Troy",66434,1
"Doniphan County Library - Troy",66532,17
"Doniphan County Library - Wathena",64485,11
"Doniphan County Library - Wathena",66008,2
"Doniphan County Library - Wathena",66024,5
"Doniphan County Library - Wathena",66087,8
"Doniphan County Library - Wathena",66090,547
"Effingham Community Library",0,10
"Effingham Community Library",66023,210
"Effingham Community Library",66041,6
"Effingham Community Library",66058,8
"Effingham Community Library",66088,1
"Effingham Community Library",66205,1
"Effingham Community Library",66436,22
"Effingham Community Library",66439,15
"Eudora Community Library",0,39
"Eudora Community Library",66002,5
"Eudora Community Library",66006,2
"Eudora Community Library",66018,10
"Eudora Community Library",66021,1
"Eudora Community Library",66025,1911
"Eudora Community Library",66044,177
"Eudora Community Library",66046,41
"Eudora Community Library",66047,97
"Eudora Community Library",66049,28
"Eudora Community Library",66052,30
"Eudora Community Library",66061,1
"Eudora Community Library",66502,16
"Eudora Community Library",66524,10
"Everest, Barnes Reading Room",0,12
"Everest, Barnes Reading Room",66424,242
"Everest, Barnes Reading Room",66434,5
"Everest, Barnes Reading Room",66439,36
"Hiawatha, Morrill Public Library",0,20
"Hiawatha, Morrill Public Library",66032,3
"Hiawatha, Morrill Public Library",-,4
"Hiawatha, Morrill Public Library",66035,14
"Hiawatha, Morrill Public Library",66041,5
"Hiawatha, Morrill Public Library",66053,2
"Hiawatha, Morrill Public Library",66087,13
"Hiawatha, Morrill Public Library",66090,9
"Hiawatha, Morrill Public Library",66094,14
"Hiawatha, Morrill Public Library",66424,11
"Hiawatha, Morrill Public Library",66425,3
"Hiawatha, Morrill Public Library",66434,1853
"Hiawatha, Morrill Public Library",66439,47
"Hiawatha, Morrill Public Library",66515,10
"Hiawatha, Morrill Public Library",66527,13
"Hiawatha, Morrill Public Library",66532,119
"Hiawatha, Morrill Public Library",66534,104
"Hiawatha, Morrill Public Library",66547,2
"Hiawatha, Morrill Public Library",66720,1
"Hiawatha, Morrill Public Library",66749,1
"Hiawatha, Morrill Public Library",66839,1
"Hiawatha, Morrill Public Library",67037,1
"Hiawatha, Morrill Public Library",67410,1
"Hiawatha, Morrill Public Library",67735,3
"Hiawatha, Morrill Public Library",67835,1
"Hiawatha, Morrill Public Library",68355,2
"Hiawatha, Morrill Public Library",68376,2
"Highland Community College",0,15
"Highland Community College",66002,7
"Highland Community College",66006,1
"Highland Community College",66017,1
"Highland Community College",66035,1
"Highland Community College",66043,1
"Highland Community College",66070,20
"Highland Community College",66087,1
"Highland Community College",66090,4
"Highland Community College",66104,3
"Highland Community College",66109,29
"Highland Community College",66413,5
"Highland Community College",66438,2
"Highland Community College",66535,1
"Highland Community College",66606,4
"Highland Community College",66618,1
"Highland Community College",-,41
"Holton, Beck-Bookman Library",0,29
"Holton, Beck-Bookman Library",66012,2
"Holton, Beck-Bookman Library",66027,2
"Holton, Beck-Bookman Library",66058,29
"Holton, Beck-Bookman Library",66060,1
"Holton, Beck-Bookman Library",66072,1
"Holton, Beck-Bookman Library",66088,3
"Holton, Beck-Bookman Library",66416,175
"Holton, Beck-Bookman Library",66418,2
"Holton, Beck-Bookman Library",66419,14
"Holton, Beck-Bookman Library",66432,11
"Holton, Beck-Bookman Library",66434,10
"Holton, Beck-Bookman Library",66436,1329
"Holton, Beck-Bookman Library",66440,84
"Holton, Beck-Bookman Library",66509,302
"Holton, Beck-Bookman Library",66516,39
"Holton, Beck-Bookman Library",66533,12
"Holton, Beck-Bookman Library",66540,120
"Holton, Beck-Bookman Library",66550,7
"Holton, Beck-Bookman Library",66552,47
"Holton, Beck-Bookman Library",66608,20
"Holton, Beck-Bookman Library",66614,7
"Holton, Beck-Bookman Library",66617,11
"Holton, Beck-Bookman Library",66783,1
"Holton, Beck-Bookman Library",66856,1
"Holton, Beck-Bookman Library",67039,1
"Holton, Beck-Bookman Library",67401,3
"Holton, Beck-Bookman Library",67410,1
"Holton, Beck-Bookman Library",67572,1
"Holton, Beck-Bookman Library",67579,1
"Holton, Beck-Bookman Library",67601,2
"Holton, Beck-Bookman Library",67735,1
"Holton, Beck-Bookman Library",67736,1
"Holton, Beck-Bookman Library",-,1
"Horton Public Library",0,25
"Horton Public Library",66053,2
"Horton Public Library",66097,1
"Horton Public Library",66434,1
"Horton Public Library",66439,90
"Horton Public Library",66531,1
"Horton Public Library",66532,2
"Horton Public Library",66547,2
"Horton Public Library",66552,1
"Horton Public Library",66835,1
"Horton Public Library",66839,1
"Horton Public Library",67010,1
"Horton Public Library",67062,1
"Horton Public Library",67068,1
"Horton Public Library",67337,1
"Horton Public Library",67550,3
"Horton Public Library",67554,1
"Horton Public Library",67561,1
"Horton Public Library",67601,2
"Horton Public Library",-,1
"Lansing Community Library",0,26
"Lansing Community Library",66007,33
"Lansing Community Library",66020,22
"Lansing Community Library",66027,23
"Lansing Community Library",66043,2060
"Lansing Community Library",66044,2
"Lansing Community Library",66048,731
"Lansing Community Library",66086,3
"Lansing Community Library",66109,7
"Lansing Community Library",66202,19
"Lansing Community Library",66226,1
"Lansing Community Library",-,4
"Leavenworth Public Library",0,19
"Leavenworth Public Library",64098,7
"Leavenworth Public Library",64118,4
"Leavenworth Public Library",64152,10
"Leavenworth Public Library",66002,82
"Leavenworth Public Library",66007,26
"Leavenworth Public Library",66012,2
"Leavenworth Public Library",66020,190
"Leavenworth Public Library",66027,1310
"Leavenworth Public Library",66043,556
"Leavenworth Public Library",66048,8417
"Leavenworth Public Library",66054,10
"Leavenworth Public Library",66060,2
"Leavenworth Public Library",66066,4
"Leavenworth Public Library",66086,32
"Leavenworth Public Library",66097,7
