branchname,ZIP_CODE,BORROWER_COUNT,RENEWED_LM,ADDED_LM,DELETED_LM
"Atchison Public Library",-,6,1,1,
"Atchison Public Library",0,55,,,
"Atchison Public Library",64079,2,,,
"Atchison Public Library",64098,6,,,
"Atchison Public Library",64114,1,,,
"Atchison Public Library",64118,1,,,
"Atchison Public Library",64133,1,,,
"Atchison Public Library",64151,1,,,
"Atchison Public Library",64152,2,,,
"Atchison Public Library",64440,15,,,
"Atchison Public Library",64484,116,2,2,
"Atchison Public Library",64501,7,,,
"Atchison Public Library",64503,3,,,
"Atchison Public Library",64504,7,,,
"Atchison Public Library",64505,3,,,
"Atchison Public Library",64506,7,,,
"Atchison Public Library",64507,5,,,
"Atchison Public Library",66002,5803,93,40,4
"Atchison Public Library",66008,13,,,
"Atchison Public Library",66012,2,,,
"Atchison Public Library",66016,118,,,
"Atchison Public Library",66017,13,,,
"Atchison Public Library",66020,21,1,1,
"Atchison Public Library",66023,79,2,1,
"Atchison Public Library",66024,1,,,
"Atchison Public Library",66027,1,,,
"Atchison Public Library",66035,7,,,
"Atchison Public Library",66041,118,,2,1
"Atchison Public Library",66043,7,,,
"Atchison Public Library",66044,11,,,
"Atchison Public Library",66048,32,2,,
"Atchison Public Library",66049,6,,,
"Atchison Public Library",66053,1,,,
"Atchison Public Library",66058,23,,,
"Atchison Public Library",66060,35,,,
"Atchison Public Library",66061,3,,,
"Atchison Public Library",66062,1,,,
"Atchison Public Library",66072,1,,,
"Atchison Public Library",66087,12,,,
"Atchison Public Library",66088,12,,,
"Atchison Public Library",66090,4,,,
"Atchison Public Library",66097,8,,,
"Atchison Public Library",66101,1,,,
"Atchison Public Library",66104,1,,,
"Atchison Public Library",66106,1,,,
"Atchison Public Library",66109,3,,,
"Atchison Public Library",66202,2,,,
"Atchison Public Library",66203,1,,,
"Atchison Public Library",66205,3,,,
"Atchison Public Library",66210,1,,,
"Atchison Public Library",66212,1,,,
"Atchison Public Library",66213,1,,,
"Atchison Public Library",66214,2,,,
"Atchison Public Library",66215,2,,,
"Atchison Public Library",66216,2,,,
"Atchison Public Library",66414,1,1,,
"Atchison Public Library",66422,1,,,
"Atchison Public Library",66424,26,,,
"Atchison Public Library",66434,3,,,
"Atchison Public Library",66436,6,,,
"Atchison Public Library",66439,12,,,
"Atchison Public Library",66509,3,,,
"Atchison Public Library",66512,1,1,,
"Atchison Public Library",66523,1,,,
"Atchison Public Library",66532,7,,,
"Atchison Public Library",66534,2,,,
"Atchison Public Library",66552,1,,,
"Atchison Public Library",66604,2,,,
"Atchison Public Library",66606,1,,,
"Atchison Public Library",66607,1,,,
"Atchison Public Library",66614,1,,,
"Atchison Public Library",66618,1,,,
"Atchison Public Library",66619,1,,,
"Atchison Public Library",67052,1,,,
"Atchison Public Library",67208,2,,,
"Atchison Public Library",67212,1,,,
"Baldwin City Public Library",-,3,,1,
"Baldwin City Public Library",0,78,,9,2
"Baldwin City Public Library",64055,2,,,
"Baldwin City Public Library",64133,2,,,
"Baldwin City Public Library",64152,1,,,
"Baldwin City Public Library",66006,3455,71,56,2
"Baldwin City Public Library",66007,3,,,
"Baldwin City Public Library",66014,1,,,
"Baldwin City Public Library",66018,1,,,
"Baldwin City Public Library",66021,32,,1,
"Baldwin City Public Library",66025,50,3,,
"Baldwin City Public Library",66030,19,,1,
"Baldwin City Public Library",66032,1,,,
"Baldwin City Public Library",66043,1,,,
"Baldwin City Public Library",66044,35,,,
"Baldwin City Public Library",66046,63,1,2,
"Baldwin City Public Library",66047,38,,,
"Baldwin City Public Library",66048,2,,,
"Baldwin City Public Library",66049,30,1,,
"Baldwin City Public Library",66050,1,,,
"Baldwin City Public Library",66053,1,,,
"Baldwin City Public Library",66061,9,,,
"Baldwin City Public Library",66062,2,,,
"Baldwin City Public Library",66064,1,,,
"Baldwin City Public Library",66067,60,3,2,1
"Baldwin City Public Library",66071,3,,,
"Baldwin City Public Library",66073,1,,,
"Baldwin City Public Library",66076,7,,,
"Baldwin City Public Library",66078,1,,,
"Baldwin City Public Library",66079,2,,,
"Baldwin City Public Library",66083,2,,,
"Baldwin City Public Library",66086,3,,,
"Baldwin City Public Library",66088,2,,,
"Baldwin City Public Library",66092,109,3,4,
"Baldwin City Public Library",66101,1,,,
"Baldwin City Public Library",66104,2,,,
"Baldwin City Public Library",66109,2,,,
"Baldwin City Public Library",66112,1,,,
"Baldwin City Public Library",66202,2,,,
"Baldwin City Public Library",66203,1,,,
"Baldwin City Public Library",66205,1,,,
"Baldwin City Public Library",66209,1,,,
"Baldwin City Public Library",66212,6,,,
"Baldwin City Public Library",66213,1,,,
"Baldwin City Public Library",66214,2,,,
"Baldwin City Public Library",66219,1,,,
"Baldwin City Public Library",66223,2,,,
"Baldwin City Public Library",66226,1,,,
"Baldwin City Public Library",66409,1,,,
"Baldwin City Public Library",66413,1,,,
"Baldwin City Public Library",66414,1,,,
"Baldwin City Public Library",66434,3,,,
"Baldwin City Public Library",66503,1,,,
