Library,"Borrower zipcode","Checkouts + renewals"
"Atchison Public Library",0,81
"Atchison Public Library",64484,38
"Atchison Public Library",64505,3
"Atchison Public Library",66002,4837
"Atchison Public Library",66008,29
"Atchison Public Library",66016,51
"Atchison Public Library",66017,2
"Atchison Public Library",66020,20
"Atchison Public Library",66023,51
"Atchison Public Library",66035,37
"Atchison Public Library",66041,59
"Atchison Public Library",66048,6
"Atchison Public Library",66052,1
"Atchison Public Library",66060,2
"Atchison Public Library",66066,10
"Atchison Public Library",66087,1
"Atchison Public Library",66097,22
"Atchison Public Library",66205,3
"Atchison Public Library",66424,53
"Atchison Public Library",66434,2
"Atchison Public Library",66439,4
"Atchison Public Library",66512,1
"Atchison Public Library",66532,5
"Atchison Public Library",67037,1
"Atchison Public Library",-,43
"Baldwin City Public Library",0,29
"Baldwin City Public Library",66006,2315
"Baldwin City Public Library",66021,1
"Baldwin City Public Library",66025,27
"Baldwin City Public Library",66030,48
"Baldwin City Public Library",66044,11
"Baldwin City Public Library",66046,20
"Baldwin City Public Library",66047,142
"Baldwin City Public Library",66049,16
"Baldwin City Public Library",66067,67
"Baldwin City Public Library",66092,141
"Baldwin City Public Library",66524,21
"Baldwin City Public Library",66538,15
"Basehor Community Library",0,345
"Basehor Community Library",-,7
"Basehor Community Library",66007,5334
"Basehor Community Library",66012,541
"Basehor Community Library",66014,9
"Basehor Community Library",66020,5
"Basehor Community Library",66043,192
"Basehor Community Library",66044,22
"Basehor Community Library",66046,12
"Basehor Community Library",66048,368
"Basehor Community Library",66049,22
"Basehor Community Library",66052,7
"Basehor Community Library",66054,30
"Basehor Community Library",66061,12
"Basehor Community Library",66066,2
"Basehor Community Library",66086,837
"Basehor Community Library",66097,2
"Basehor Community Library",66102,21
"Basehor Community Library",66109,822
"Basehor Community Library",66111,37
"Basehor Community Library",66112,9
"Basehor Community Library",66215,1
"Basehor Community Library",66218,30
"Basehor Community Library",66227,8
"Basehor Community Library",66614,7
"Bern Community Library",66408,89
"Bern Community Library",66534,61
"Bern Community Library",66538,2
"Bonner Springs City Library",0,402
"Bonner Springs City Library",66007,79
"Bonner Springs City Library",66012,3083
"Bonner Springs City Library",66018,10
"Bonner Springs City Library",66021,108
"Bonner Springs City Library",66032,2
"Bonner Springs City Library",66043,70
"Bonner Springs City Library",66048,37
"Bonner Springs City Library",66052,125
"Bonner Springs City Library",66053,5
"Bonner Springs City Library",66061,28
"Bonner Springs City Library",66062,9
"Bonner Springs City Library",66066,2
"Bonner Springs City Library",66075,1
"Bonner Springs City Library",66086,41
"Bonner Springs City Library",66102,8
"Bonner Springs City Library",66109,655
"Bonner Springs City Library",66111,405
"Bonner Springs City Library",66113,299
"Bonner Springs City Library",66215,11
"Bonner Springs City Library",66216,80
"Bonner Springs City Library",66218,209
"Bonner Springs City Library",66220,2
"Bonner Springs City Library",66226,175
"Bonner Springs City Library",66227,20
"Bonner Springs City Library",66427,1
"Bonner Springs City Library",66441,1
"Bonner Springs City Library",66502,2
"Bonner Springs City Library",66521,1
"Bonner Springs City Library",66536,1
"Bonner Springs City Library",66547,3
"Bonner Springs City Library",66617,1
"Bonner Springs City Library",66701,2
"Bonner Springs City Library",66736,1
"Bonner Springs City Library",66801,1
"Bonner Springs City Library",66901,1
"Bonner Springs City Library",67002,3
"Bonner Springs City Library",67010,1
"Bonner Springs City Library",67037,1
"Bonner Springs City Library",67042,1
"Bonner Springs City Library",67045,2
"Bonner Springs City Library",67110,3
"Bonner Springs City Library",67114,2
"Bonner Springs City Library",67144,1
"Bonner Springs City Library",67219,1
"Bonner Springs City Library",67401,1
"Bonner Springs City Library",67410,1
"Bonner Springs City Library",67460,2
"Bonner Springs City Library",67550,1
"Bonner Springs City Library",67558,1
"Bonner Springs City Library",67579,5
"Bonner Springs City Library",67601,1
"Bonner Springs City Library",67654,1
"Bonner Springs City Library",67701,1
"Bonner Springs City Library",67735,1
"Bonner Springs City Library",67736,1
"Bonner Springs City Library",67749,1
"Bonner Springs City Library",-,4
"Bonner Springs City Library",67860,1
"Bonner Springs City Library",67879,1
"Bonner Springs City Library",67951,1
"Burlingame Community Library",0,5
"Burlingame Community Library",66402,2
"Burlingame Community Library",66413,577
"Burlingame Community Library",66414,43
"Burlingame Community Library",66431,1
"Burlingame Community Library",66523,20
"Burlingame Community Library",66524,1
"Burlingame Community Library",66537,12
"Burlingame Community Library",66538,1
"Burlingame Community Library",66833,1
"Carbondale City Library",66409,3
"Carbondale City Library",66413,3
"Carbondale City Library",66414,283
"Carbondale City Library",66523,35
"Carbondale City Library",66537,152
"Carbondale City Library",66546,49
"Carbondale City Library",66605,4
"Carbondale City Library",66611,3
"Carbondale City Library",66619,8
"Centralia Community Library",66415,353
"Centralia Community Library",66521,1
"Centralia Community Library",66538,17
"Centralia Community Library",66544,9
"Corning City Library",0,1
"Corning City Library",66417,8
"Corning City Library",66540,2
"Doniphan County Library - Elwood",-,1
"Doniphan County Library - Elwood",64501,10
"Doniphan County Library - Elwood",66024,104
"Doniphan County Library - Elwood",66035,17
"Doniphan County Library - Elwood",66087,39
"Doniphan County Library - Elwood",66090,14
"Doniphan County Library - Highland",64485,1
"Doniphan County Library - Highland",64501,6
"Doniphan County Library - Highland",66008,1
"Doniphan County Library - Highland",66017,16
"Doniphan County Library - Highland",-,4
"Doniphan County Library - Highland",66035,366
"Doniphan County Library - Highland",66087,50
"Doniphan County Library - Highland",66094,10
"Doniphan County Library - Troy",0,1
"Doniphan County Library - Troy",64501,14
"Doniphan County Library - Troy",64506,1
"Doniphan County Library - Troy",66002,17
"Doniphan County Library - Troy",66008,26
"Doniphan County Library - Troy",66017,7
"Doniphan County Library - Troy",66035,28
"Doniphan County Library - Troy",66087,412
"Doniphan County Library - Troy",66090,57
"Doniphan County Library - Troy",66434,11
"Doniphan County Library - Wathena",0,1
"Doniphan County Library - Wathena",-,1
"Doniphan County Library - Wathena",64485,11
"Doniphan County Library - Wathena",66017,6
"Doniphan County Library - Wathena",66024,7
"Doniphan County Library - Wathena",66087,17
"Doniphan County Library - Wathena",66090,473
"Effingham Community Library",0,16
"Effingham Community Library",66023,182
"Effingham Community Library",66041,7
"Effingham Community Library",66436,6
"Eudora Community Library",0,27
"Eudora Community Library",66018,34
"Eudora Community Library",66021,2
"Eudora Community Library",66025,1771
"Eudora Community Library",66044,94
"Eudora Community Library",66046,23
"Eudora Community Library",66047,32
"Eudora Community Library",66049,22
"Eudora Community Library",66052,25
"Eudora Community Library",66212,1
"Eudora Community Library",66502,19
"Eudora Community Library",66524,38
"Eudora Community Library",-,4
"Everest, Barnes Reading Room",66006,3
"Everest, Barnes Reading Room",66424,167
"Everest, Barnes Reading Room",66434,1
"Everest, Barnes Reading Room",66439,6
"Hiawatha, Morrill Public Library",0,13
"Hiawatha, Morrill Public Library",66017,8
"Hiawatha, Morrill Public Library",66035,38
"Hiawatha, Morrill Public Library",66053,1
"Hiawatha, Morrill Public Library",66087,8
"Hiawatha, Morrill Public Library",66090,3
"Hiawatha, Morrill Public Library",66094,35
"Hiawatha, Morrill Public Library",66424,7
"Hiawatha, Morrill Public Library",66425,30
"Hiawatha, Morrill Public Library",66428,36
"Hiawatha, Morrill Public Library",66434,1712
"Hiawatha, Morrill Public Library",66439,25
"Hiawatha, Morrill Public Library",66507,1
"Hiawatha, Morrill Public Library",66515,5
"Hiawatha, Morrill Public Library",66527,32
"Hiawatha, Morrill Public Library",66532,135
"Hiawatha, Morrill Public Library",66534,132
"Hiawatha, Morrill Public Library",66536,1
"Hiawatha, Morrill Public Library",66547,1
"Hiawatha, Morrill Public Library",66801,1
"Hiawatha, Morrill Public Library",67456,1
"Hiawatha, Morrill Public Library",67735,2
"Hiawatha, Morrill Public Library",67835,1
"Hiawatha, Morrill Public Library",67878,1
"Hiawatha, Morrill Public Library",68376,6
"Highland Community College",0,12
"Highland Community College",64507,1
"Highland Community College",66002,1
"Highland Community College",66006,1
"Highland Community College",66035,3
"Highland Community College",66044,1
"Highland Community College",66048,2
"Highland Community College",66061,1
"Highland Community College",66087,1
"Highland Community College",66097,1
"Highland Community College",66104,3
"Highland Community College",66439,1
"Highland Community College",66534,2
"Highland Community College",66618,1
"Highland Community College",67114,1
"Highland Community College",-,4
"Holton, Beck-Bookman Library",0,53
"Holton, Beck-Bookman Library",66002,1
"Holton, Beck-Bookman Library",66058,17
"Holton, Beck-Bookman Library",66075,1
"Holton, Beck-Bookman Library",66088,2
"Holton, Beck-Bookman Library",66092,2
"Holton, Beck-Bookman Library",66408,10
"Holton, Beck-Bookman Library",66411,3
"Holton, Beck-Bookman Library",66416,65
"Holton, Beck-Bookman Library",66417,1
"Holton, Beck-Bookman Library",66419,38
"Holton, Beck-Bookman Library",66428,37
"Holton, Beck-Bookman Library",66432,2
"Holton, Beck-Bookman Library",66434,7
"Holton, Beck-Bookman Library",66436,1385
"Holton, Beck-Bookman Library",66439,10
"Holton, Beck-Bookman Library",66440,65
"Holton, Beck-Bookman Library",66509,230
"Holton, Beck-Bookman Library",66516,33
"Holton, Beck-Bookman Library",66521,10
"Holton, Beck-Bookman Library",66533,12
"Holton, Beck-Bookman Library",66539,1
"Holton, Beck-Bookman Library",66540,92
"Holton, Beck-Bookman Library",66547,5
"Holton, Beck-Bookman Library",66550,11
"Holton, Beck-Bookman Library",66552,50
"Holton, Beck-Bookman Library",66614,2
"Holton, Beck-Bookman Library",66701,1
"Holton, Beck-Bookman Library",67410,1
"Holton, Beck-Bookman Library",67579,1
"Holton, Beck-Bookman Library",67583,2
"Holton, Beck-Bookman Library",67601,1
"Holton, Beck-Bookman Library",-,3
"Holton, Beck-Bookman Library",67735,1
"Horton Public Library",0,11
"Horton Public Library",66053,1
"Horton Public Library",66434,6
"Horton Public Library",66439,88
"Horton Public Library",66440,1
"Horton Public Library",66532,6
"Horton Public Library",66547,1
"Horton Public Library",67110,1
"Horton Public Library",67114,1
"Horton Public Library",67337,1
"Horton Public Library",67460,1
"Horton Public Library",67550,1
"Horton Public Library",-,2
"Lansing Community Library",0,29
"Lansing Community Library",66007,31
"Lansing Community Library",66020,8
"Lansing Community Library",66027,15
"Lansing Community Library",66043,1720
"Lansing Community Library",66048,650
"Lansing Community Library",66061,16
"Lansing Community Library",66086,2
"Lansing Community Library",66109,9
"Lansing Community Library",66202,17
"Lansing Community Library",66210,2
"Lansing Community Library",-,3
"Leavenworth Public Library",0,9
"Leavenworth Public Library",64098,2
"Leavenworth Public Library",64152,1
"Leavenworth Public Library",-,112
"Leavenworth Public Library",66002,25
"Leavenworth Public Library",66007,22
"Leavenworth Public Library",66020,153
"Leavenworth Public Library",66027,1271
"Leavenworth Public Library",66043,590
"Leavenworth Public Library",66048,7927
"Leavenworth Public Library",66054,13
"Leavenworth Public Library",66061,4
"Leavenworth Public Library",66073,3
"Leavenworth Public Library",66086,21
"Leavenworth Public Library",66097,2
"Leavenworth Public Library",66109,12
"Leavenworth Public Library",66202,1
"Leavenworth Public Library",66210,24
"Leavenworth Public Library",66428,1
"Leavenworth Public Library",66442,6
"Linwood Community Library",0,1
"Linwood Community Library",66012,6
"Linwood Community Library",66025,5
"Linwood Community Library",66044,46
"Linwood Community Library",66046,12
"Linwood Community Library",66047,18
"Linwood Community Library",66049,15
"Linwood Community Library",66052,614
"Linwood Community Library",66054,6
"Linwood Community Library",66086,49
"Linwood Community Library",66212,3
"Lyndon Carnegie Library",0,23
"Lyndon Carnegie Library",-,2
"Lyndon Carnegie Library",66212,4
"Lyndon Carnegie Library",66414,20
"Lyndon Carnegie Library",66451,470
"Lyndon Carnegie Library",66510,11
"Lyndon Carnegie Library",66523,9
"Lyndon Carnegie Library",66537,54
"Lyndon Carnegie Library",66543,94
"Lyndon Carnegie Library",66856,2
"McLouth Public Library",66048,10
"McLouth Public Library",66054,189
"McLouth Public Library",66066,1
"McLouth Public Library",66086,4
"Meriden-Ozawkie Public Library",0,16
"Meriden-Ozawkie Public Library",66070,211
"Meriden-Ozawkie Public Library",66073,33
"Meriden-Ozawkie Public Library",66088,163
"Meriden-Ozawkie Public Library",66215,2
"Meriden-Ozawkie Public Library",66429,5
"Meriden-Ozawkie Public Library",66440,32
"Meriden-Ozawkie Public Library",66451,15
"Meriden-Ozawkie Public Library",66512,961
"Meriden-Ozawkie Public Library",66542,58
"Meriden-Ozawkie Public Library",66604,2
"Meriden-Ozawkie Public Library",66608,4
"Meriden-Ozawkie Public Library",66614,26
"Meriden-Ozawkie Public Library",66615,25
"Meriden-Ozawkie Public Library",66617,291
"Meriden-Ozawkie Public Library",66618,1
"Northeast Kansas Library System",0,1
"Northeast Kansas Library System",66002,2
"Northeast Kansas Library System",66044,14
"Northeast Kansas Library System",66047,1
"Northeast Kansas Library System",66049,16
"Nortonville Public Library",0,41
"Nortonville Public Library",66016,3
"Nortonville Public Library",66023,30
"Nortonville Public Library",66060,265
"Nortonville Public Library",66066,2
"Nortonville Public Library",66088,2
"Nortonville Public Library",66097,1
"Nortonville Public Library",66439,2
"Osage City Library",,6
"Osage City Library",0,63
"Osage City Library",-,22
"Osage City Library",66402,26
"Osage City Library",66413,143
