Library,"Borrower zipcode","Checkouts + renewals"
"Atchison Public Library",0,151
"Atchison Public Library",64484,7
"Atchison Public Library",66002,6879
"Atchison Public Library",66008,51
"Atchison Public Library",66016,88
"Atchison Public Library",66017,6
"Atchison Public Library",66020,40
"Atchison Public Library",66023,23
"Atchison Public Library",66027,1
"Atchison Public Library",66035,4
"Atchison Public Library",66041,104
"Atchison Public Library",66043,2
"Atchison Public Library",66044,1
"Atchison Public Library",66047,3
"Atchison Public Library",66048,69
"Atchison Public Library",66058,8
"Atchison Public Library",66060,5
"Atchison Public Library",66066,12
"Atchison Public Library",66087,9
"Atchison Public Library",66090,37
"Atchison Public Library",66097,37
"Atchison Public Library",66205,47
"Atchison Public Library",66424,41
"Atchison Public Library",66434,22
"Atchison Public Library",66439,9
"Atchison Public Library",66512,1
"Atchison Public Library",66532,2
"Atchison Public Library",-,4
"Baldwin City Public Library",0,97
"Baldwin City Public Library",66006,3425
"Baldwin City Public Library",66021,4
"Baldwin City Public Library",66025,62
"Baldwin City Public Library",66030,14
"Baldwin City Public Library",66044,46
"Baldwin City Public Library",66046,58
"Baldwin City Public Library",66047,27
"Baldwin City Public Library",66049,30
"Baldwin City Public Library",66067,17
"Baldwin City Public Library",66076,21
"Baldwin City Public Library",66092,152
"Baldwin City Public Library",66095,6
"Baldwin City Public Library",66414,1
"Baldwin City Public Library",66523,3
"Baldwin City Public Library",66524,25
"Basehor Community Library",,1
"Basehor Community Library",0,277
"Basehor Community Library",-,41
"Basehor Community Library",64506,44
"Basehor Community Library",66006,17
"Basehor Community Library",66007,7720
"Basehor Community Library",66012,936
"Basehor Community Library",66014,9
"Basehor Community Library",66020,13
"Basehor Community Library",66043,221
"Basehor Community Library",66044,43
"Basehor Community Library",66046,36
"Basehor Community Library",66047,4
"Basehor Community Library",66048,507
"Basehor Community Library",66049,5
"Basehor Community Library",66052,55
"Basehor Community Library",66054,8
"Basehor Community Library",66061,17
"Basehor Community Library",66062,28
"Basehor Community Library",66073,8
"Basehor Community Library",66086,1105
"Basehor Community Library",66102,7
"Basehor Community Library",66109,1062
"Basehor Community Library",66111,3
"Basehor Community Library",66203,4
"Basehor Community Library",66212,67
"Basehor Community Library",66218,30
"Basehor Community Library",66226,8
"Basehor Community Library",66227,10
"Bern Community Library",66408,308
"Bern Community Library",66534,220
"Bonner Springs City Library",0,528
"Bonner Springs City Library",66006,10
"Bonner Springs City Library",66007,139
"Bonner Springs City Library",66012,3879
"Bonner Springs City Library",66018,55
"Bonner Springs City Library",66021,50
"Bonner Springs City Library",66027,1
"Bonner Springs City Library",66040,1
"Bonner Springs City Library",66043,134
"Bonner Springs City Library",66047,2
"Bonner Springs City Library",66048,55
"Bonner Springs City Library",66049,1
"Bonner Springs City Library",66050,6
"Bonner Springs City Library",66052,119
"Bonner Springs City Library",66053,6
"Bonner Springs City Library",66054,13
"Bonner Springs City Library",66061,3
"Bonner Springs City Library",66086,37
"Bonner Springs City Library",66102,7
"Bonner Springs City Library",66104,4
"Bonner Springs City Library",66106,30
"Bonner Springs City Library",66109,1179
"Bonner Springs City Library",66111,884
"Bonner Springs City Library",66112,67
"Bonner Springs City Library",66113,167
"Bonner Springs City Library",66203,29
"Bonner Springs City Library",66213,1
"Bonner Springs City Library",66215,15
"Bonner Springs City Library",66216,74
"Bonner Springs City Library",66218,248
"Bonner Springs City Library",66220,1
"Bonner Springs City Library",66226,375
"Bonner Springs City Library",66227,12
"Bonner Springs City Library",66441,4
"Bonner Springs City Library",66502,1
"Bonner Springs City Library",66508,2
"Bonner Springs City Library",66547,3
"Bonner Springs City Library",66701,1
"Bonner Springs City Library",66713,1
"Bonner Springs City Library",66720,1
"Bonner Springs City Library",66748,2
"Bonner Springs City Library",66762,1
"Bonner Springs City Library",66801,2
"Bonner Springs City Library",66857,2
"Bonner Springs City Library",66861,1
"Bonner Springs City Library",66901,4
"Bonner Springs City Library",66945,1
"Bonner Springs City Library",67002,2
"Bonner Springs City Library",67010,1
"Bonner Springs City Library",67042,1
"Bonner Springs City Library",67062,1
"Bonner Springs City Library",67063,1
"Bonner Springs City Library",67104,1
"Bonner Springs City Library",67114,2
"Bonner Springs City Library",67156,1
"Bonner Springs City Library",67301,1
"Bonner Springs City Library",67357,1
"Bonner Springs City Library",67410,1
"Bonner Springs City Library",67420,1
"Bonner Springs City Library",67432,1
"Bonner Springs City Library",67550,2
"Bonner Springs City Library",67579,2
"Bonner Springs City Library",67601,2
"Bonner Springs City Library",67654,3
"Bonner Springs City Library",67701,2
"Bonner Springs City Library",67735,1
"Bonner Springs City Library",67749,1
"Bonner Springs City Library",67756,1
"Bonner Springs City Library",67861,1
"Bonner Springs City Library",67864,1
"Bonner Springs City Library",-,13
"Bonner Springs City Library",67950,1
"Burlingame Community Library",0,20
"Burlingame Community Library",66402,1
"Burlingame Community Library",66413,796
"Burlingame Community Library",66414,21
"Burlingame Community Library",66431,1
"Burlingame Community Library",66524,3
"Burlingame Community Library",66537,7
"Burlingame Community Library",66833,6
"Carbondale City Library",66409,6
"Carbondale City Library",66413,7
"Carbondale City Library",66414,645
"Carbondale City Library",66451,6
"Carbondale City Library",66523,20
"Carbondale City Library",66524,10
"Carbondale City Library",66537,245
"Carbondale City Library",66546,11
"Carbondale City Library",66605,6
"Carbondale City Library",66611,12
"Carbondale City Library",66614,4
"Carbondale City Library",66615,2
"Carbondale City Library",66619,31
"Carbondale City Library",-,12
"Centralia Community Library",0,4
"Centralia Community Library",66415,579
"Centralia Community Library",66521,14
"Centralia Community Library",66538,5
"Centralia Community Library",66544,14
"Corning City Library",0,21
"Corning City Library",66047,1
"Corning City Library",66417,150
"Corning City Library",66428,12
"Corning City Library",66538,2
"Corning City Library",66540,27
"Doniphan County Library - Elwood",-,7
"Doniphan County Library - Elwood",66024,63
"Doniphan County Library - Elwood",66087,15
"Doniphan County Library - Elwood",66090,39
"Doniphan County Library - Highland",,3
"Doniphan County Library - Highland",0,6
"Doniphan County Library - Highland",66008,7
"Doniphan County Library - Highland",66017,31
"Doniphan County Library - Highland",-,7
"Doniphan County Library - Highland",66035,383
"Doniphan County Library - Highland",66041,2
"Doniphan County Library - Highland",66087,21
"Doniphan County Library - Highland",66434,6
"Doniphan County Library - Highland",66532,6
"Doniphan County Library - Troy",-,2
"Doniphan County Library - Troy",64485,1
"Doniphan County Library - Troy",66002,14
"Doniphan County Library - Troy",66008,71
"Doniphan County Library - Troy",66012,1
"Doniphan County Library - Troy",66017,13
"Doniphan County Library - Troy",66024,1
"Doniphan County Library - Troy",66035,54
"Doniphan County Library - Troy",66087,533
"Doniphan County Library - Troy",66090,85
"Doniphan County Library - Troy",66532,3
"Doniphan County Library - Wathena",64485,4
"Doniphan County Library - Wathena",66008,12
"Doniphan County Library - Wathena",66024,3
"Doniphan County Library - Wathena",66087,15
"Doniphan County Library - Wathena",66090,498
"Effingham Community Library",0,25
"Effingham Community Library",66002,16
"Effingham Community Library",66016,11
"Effingham Community Library",66023,306
"Effingham Community Library",66041,32
"Effingham Community Library",66047,2
"Effingham Community Library",66058,7
"Effingham Community Library",66111,20
"Effingham Community Library",66439,6
"Eudora Community Library",0,54
"Eudora Community Library",66006,8
"Eudora Community Library",66018,33
"Eudora Community Library",66021,4
"Eudora Community Library",66025,2855
"Eudora Community Library",66044,72
"Eudora Community Library",66046,19
"Eudora Community Library",66047,29
"Eudora Community Library",66049,3
"Eudora Community Library",66052,32
"Eudora Community Library",66061,4
"Eudora Community Library",66212,1
"Everest, Barnes Reading Room",66041,6
"Everest, Barnes Reading Room",66424,70
"Everest, Barnes Reading Room",66434,1
"Everest, Barnes Reading Room",66439,34
"Hiawatha, Morrill Public Library",0,24
"Hiawatha, Morrill Public Library",66008,1
"Hiawatha, Morrill Public Library",-,6
"Hiawatha, Morrill Public Library",66035,27
"Hiawatha, Morrill Public Library",66041,6
"Hiawatha, Morrill Public Library",66058,5
"Hiawatha, Morrill Public Library",66087,21
"Hiawatha, Morrill Public Library",66094,28
