Library,"Borrower zipcode","Checkouts + renewals"
"Atchison Public Library",0,83
"Atchison Public Library",64098,6
"Atchison Public Library",64484,42
"Atchison Public Library",64506,7
"Atchison Public Library",66002,4568
"Atchison Public Library",66008,30
"Atchison Public Library",66016,90
"Atchison Public Library",66017,3
"Atchison Public Library",66020,18
"Atchison Public Library",66023,46
"Atchison Public Library",66035,5
"Atchison Public Library",66041,71
"Atchison Public Library",66048,21
"Atchison Public Library",66058,5
"Atchison Public Library",66060,2
"Atchison Public Library",66087,1
"Atchison Public Library",66097,19
"Atchison Public Library",66111,1
"Atchison Public Library",66205,18
"Atchison Public Library",66424,16
"Atchison Public Library",66434,4
"Atchison Public Library",66439,8
"Atchison Public Library",66512,1
"Atchison Public Library",-,13
"Baldwin City Public Library",0,24
"Baldwin City Public Library",-,12
"Baldwin City Public Library",66006,2081
"Baldwin City Public Library",66021,16
"Baldwin City Public Library",66025,80
"Baldwin City Public Library",66030,20
"Baldwin City Public Library",66044,34
"Baldwin City Public Library",66046,31
"Baldwin City Public Library",66047,105
"Baldwin City Public Library",66049,39
"Baldwin City Public Library",66050,5
"Baldwin City Public Library",66067,23
"Baldwin City Public Library",66073,2
"Baldwin City Public Library",66076,11
"Baldwin City Public Library",66092,127
"Baldwin City Public Library",66524,25
"Basehor Community Library",0,288
"Basehor Community Library",66007,5500
"Basehor Community Library",66012,616
"Basehor Community Library",66014,13
"Basehor Community Library",66043,225
"Basehor Community Library",66044,22
"Basehor Community Library",66046,9
"Basehor Community Library",66047,1
"Basehor Community Library",66048,646
"Basehor Community Library",66052,56
"Basehor Community Library",66054,48
"Basehor Community Library",66061,1
"Basehor Community Library",66086,1054
"Basehor Community Library",66102,10
"Basehor Community Library",66109,831
"Basehor Community Library",66111,5
"Basehor Community Library",66112,7
"Basehor Community Library",66203,4
"Basehor Community Library",66212,2
"Basehor Community Library",66215,3
"Basehor Community Library",66216,4
"Basehor Community Library",66218,27
"Basehor Community Library",66226,25
"Basehor Community Library",66227,12
"Bern Community Library",66408,214
"Bern Community Library",66534,4
"Bonner Springs City Library",,27
"Bonner Springs City Library",0,411
"Bonner Springs City Library",66007,76
"Bonner Springs City Library",66012,3699
"Bonner Springs City Library",66018,9
"Bonner Springs City Library",66021,17
"Bonner Springs City Library",66030,4
"Bonner Springs City Library",66043,118
"Bonner Springs City Library",66048,62
"Bonner Springs City Library",66049,1
"Bonner Springs City Library",66052,40
"Bonner Springs City Library",66053,4
"Bonner Springs City Library",66054,1
"Bonner Springs City Library",66061,9
"Bonner Springs City Library",66086,49
"Bonner Springs City Library",66102,8
"Bonner Springs City Library",66104,3
"Bonner Springs City Library",66106,6
"Bonner Springs City Library",66109,743
"Bonner Springs City Library",66111,447
"Bonner Springs City Library",66112,12
"Bonner Springs City Library",66113,110
"Bonner Springs City Library",66202,1
"Bonner Springs City Library",66203,15
"Bonner Springs City Library",66210,1
"Bonner Springs City Library",66212,1
"Bonner Springs City Library",66213,1
"Bonner Springs City Library",66215,2
"Bonner Springs City Library",66216,41
"Bonner Springs City Library",66218,207
"Bonner Springs City Library",66226,145
"Bonner Springs City Library",66227,14
"Bonner Springs City Library",66427,2
"Bonner Springs City Library",66441,2
"Bonner Springs City Library",66502,6
